p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
MFGE8	0	1.61689199758169	0.984	0.439	0	MFGE8
IGFBP2	0	1.61415406957374	0.871	0.187	0	IGFBP2
GAS6	0	1.58544608446557	0.9	0.458	0	GAS6
BGN	0	1.55404432853346	0.981	0.407	0	BGN
AEBP1	0	1.37823833468527	0.902	0.344	0	AEBP1
PPP1R14A	0	1.28540606073655	0.95	0.255	0	PPP1R14A
NOV	0	1.2755658980816	0.778	0.129	0	NOV
DKK3	0	1.24177378993323	0.854	0.2	0	DKK3
RAMP1	0	1.15347962281629	0.775	0.123	0	RAMP1
DSTN	0	0.980794091502825	0.999	0.785	0	DSTN
COL8A1	0	0.95211394255221	0.691	0.107	0	COL8A1
FRZB	1.76316218900074e-318	1.29678973444465	0.816	0.229	2.33054778142118e-314	FRZB
MGP	6.45476263417079e-313	1.3583140594544	0.999	0.882	8.53190524984695e-309	MGP
HSPB1	4.66499270414445e-312	0.952497246212059	0.999	0.83	6.16618735633813e-308	HSPB1
MYH11	6.67011371434622e-310	0.767577155240423	0.81	0.174	8.81655630762283e-306	MYH11
SUGCT	1.27705368486642e-309	0.645148262154377	0.573	0.053	1.68800956065643e-305	SUGCT
FN1	2.57956701138862e-307	1.15205569268686	0.84	0.285	3.40967167565348e-303	FN1
SLC14A1	7.47208327335487e-307	0.679052895679353	0.5	0.033	9.87659967072047e-303	SLC14A1
MYH10	1.76609202999474e-304	0.929726462634446	0.703	0.131	2.33442044524705e-300	MYH10
OGN	9.09012803692882e-302	1.00104953118486	0.795	0.202	1.20153312392125e-297	OGN
TPM2	7.27568440112435e-301	0.957689249731154	0.984	0.46	9.61699964140617e-297	TPM2
MYL9	1.90042150971246e-300	0.947273734187327	0.998	0.616	2.51197715153793e-296	MYL9
PLS3	3.47325024004296e-297	0.870086985345457	0.87	0.323	4.59094216728878e-293	PLS3
RGS5	3.99673937970799e-297	0.9515370639832	0.777	0.158	5.28289011209802e-293	RGS5
PLN	2.6943701498506e-292	0.843088556986009	0.797	0.176	3.56141846407252e-288	PLN
LTBP1	1.52061898161996e-289	0.848392392464326	0.762	0.187	2.00995416990526e-285	LTBP1
SGCA	3.21445201788603e-283	0.742497719590577	0.666	0.122	4.24886267724175e-279	SGCA
IGFBP7	2.62072326200422e-270	1.15364455775994	1	0.866	3.46407200771718e-266	IGFBP7
ITGA8	3.05449154581864e-268	0.66771481680203	0.646	0.105	4.03742692526308e-264	ITGA8
TAGLN	7.76676660230533e-268	0.972825603026754	0.994	0.735	1.02661120949272e-263	TAGLN
CD151	2.11583827734766e-267	0.84399071018709	0.945	0.582	2.79671503499814e-263	CD151
MFAP4	1.75309680532531e-263	0.97858750705238	0.948	0.384	2.317243357279e-259	MFAP4
FMOD	2.87501438172122e-252	0.795912207474968	0.708	0.171	3.8001940097591e-248	FMOD
SPARC	4.20134824920532e-251	0.910482157534286	0.917	0.47	5.5533421157996e-247	SPARC
CALD1	1.2090407333398e-250	0.886402610328311	0.983	0.565	1.59811004132855e-246	CALD1
VCAN	1.83721489235066e-250	1.01669852217871	0.751	0.224	2.42843064470911e-246	VCAN
ACTA2	9.89784700687986e-245	0.799830459154321	0.974	0.504	1.30829741736938e-240	ACTA2
ASPN	2.7927915663729e-244	0.916679677160525	0.651	0.126	3.6915118924317e-240	ASPN
PDLIM3	3.56310837374825e-239	0.79339353305607	0.8	0.246	4.70971664842044e-235	PDLIM3
TNFRSF11B	1.21716037408358e-237	1.02441155244676	0.499	0.057	1.60884258246367e-233	TNFRSF11B
LTBP2	6.28627260879175e-230	0.65461163358626	0.592	0.099	8.30919513430093e-226	LTBP2
CCDC3	5.74959059325696e-228	0.707853993035076	0.733	0.187	7.59980884616705e-224	CCDC3
ITGB1	3.10277219996639e-226	0.74323578100814	0.95	0.649	4.10124429391558e-222	ITGB1
CRIP2	5.58659876897017e-219	0.774442661044285	0.916	0.446	7.38436625282477e-215	CRIP2
SOD3	6.40326314437716e-218	0.772582480163712	0.926	0.398	8.46383322423774e-214	SOD3
FHL1	3.39660735513129e-217	0.815939162759918	0.902	0.398	4.48963560201254e-213	FHL1
ELN	6.44239313110051e-212	0.814182194350493	0.654	0.179	8.51555524068865e-208	ELN
FXYD1	3.67928138220207e-203	0.696232257979163	0.861	0.353	4.8632741309947e-199	FXYD1
TGM2	4.1998365779719e-202	0.702127247984082	0.663	0.178	5.55134398876325e-198	TGM2
TPM1	4.35300708844948e-200	0.59884710566878	0.934	0.429	5.75380476951252e-196	TPM1
FBLIM1	2.25131117707813e-198	0.565906059087468	0.646	0.157	2.97578311386188e-194	FBLIM1
MAOB	5.17548715681206e-198	0.524804268193219	0.531	0.096	6.84095892387418e-194	MAOB
ADI1	1.63837817093423e-193	0.605524628817784	0.788	0.363	2.16560826634086e-189	ADI1
KRT8	1.2921381183525e-192	0.676993815126202	0.481	0.076	1.70794816483834e-188	KRT8
HCFC1R1	4.86347674678312e-186	0.599318830266644	0.718	0.254	6.42854356389793e-182	HCFC1R1
PRELP	7.44753774802634e-184	0.766693493237887	0.847	0.345	9.84415539534122e-180	PRELP
FBXO32	1.72473407109909e-183	0.520340858077961	0.504	0.09	2.27975349517877e-179	FBXO32
NDUFA4	7.41263871536406e-182	0.595656852478852	0.984	0.861	9.79802585396821e-178	NDUFA4
PFN2	1.04962472912914e-181	0.523719099273453	0.62	0.171	1.3873939669629e-177	PFN2
CRYAB	3.63864801636568e-181	0.648872514173675	0.844	0.34	4.80956494803215e-177	CRYAB
CTGF	4.63341747006316e-180	0.950289558828077	0.898	0.463	6.12445121192949e-176	CTGF
VIM	5.97667486542828e-178	0.648542384674433	1	0.984	7.8999688371231e-174	VIM
RPS27L	1.20045998548914e-173	0.592367444242629	0.944	0.701	1.58676800881954e-169	RPS27L
CPE	3.81845438980416e-172	0.610486325999811	0.877	0.389	5.04723301244314e-168	CPE
FGF1	4.98229958038746e-172	0.359384473450585	0.357	0.036	6.58560358535615e-168	FGF1
CD9	4.06049380521112e-170	0.630755292539149	0.97	0.635	5.36716071172805e-166	CD9
CRIP1	8.06508583160043e-167	0.729251515693395	0.706	0.277	1.06604304522095e-162	CRIP1
EPDR1	1.17070034788476e-166	0.405296443614695	0.438	0.073	1.54743171983407e-162	EPDR1
AQP1	2.50988133661627e-166	0.29660394630401	0.713	0.259	3.31756115073939e-162	AQP1
EFEMP1	8.48533283861064e-166	0.585239963408001	0.804	0.315	1.12159129460755e-161	EFEMP1
EDIL3	7.51419285764879e-165	0.456234680399074	0.494	0.096	9.93226011924017e-161	EDIL3
S100A6	3.02094488432534e-164	0.628827355710612	1	0.971	3.99308494810124e-160	S100A6
NGFRAP1	1.63964726448e-161	0.564524039800956	0.779	0.358	2.16728575418967e-157	NGFRAP1
SORBS2	4.51773353076249e-160	0.340261012858689	0.532	0.133	5.97154018096185e-156	SORBS2
ITGA10	6.73262278886548e-160	0.427106991658411	0.435	0.073	8.89918080232239e-156	ITGA10
LMOD1	2.42468617012312e-158	0.471327809092816	0.599	0.161	3.20495017966874e-154	LMOD1
LGALS1	2.64207556263948e-158	0.618023191913086	0.994	0.865	3.49229547869687e-154	LGALS1
GMDS	4.33132560017462e-157	0.451661384666423	0.506	0.127	5.72514617831082e-153	GMDS
MYLK	8.6349563792716e-157	0.358858795394457	0.605	0.182	1.14136853421212e-152	MYLK
HSPB7	2.45588919846854e-155	0.454103164002765	0.432	0.07	3.24619434253572e-151	HSPB7
ANTXR1	3.24173534075005e-155	0.423555554129154	0.464	0.1	4.28492577340342e-151	ANTXR1
SELM	3.50846878070422e-155	0.519393625511394	0.986	0.692	4.63749403433484e-151	SELM
SPINT2	7.87191287231102e-155	0.638902361863177	0.605	0.226	1.04050944346207e-150	SPINT2
CDH11	2.98437982130466e-154	0.42595095817045	0.411	0.072	3.94475324780051e-150	CDH11
NEXN	6.45847199682506e-154	0.532179737061313	0.625	0.182	8.53680828540337e-150	NEXN
S100A4	7.56363081118326e-154	0.795050699367802	0.963	0.747	9.99760720622203e-150	S100A4
RHOD	4.73154525913196e-153	0.336755710433228	0.378	0.054	6.25415652352063e-149	RHOD
ACTN1	3.5942868799691e-151	0.581953041411125	0.788	0.337	4.75092839794316e-147	ACTN1
CAV1	1.06929307038649e-150	0.470939195336377	0.855	0.392	1.41339158043687e-146	CAV1
CYB5R3	1.43739014051133e-149	0.551301291685522	0.839	0.47	1.89994228772787e-145	CYB5R3
SMOC2	7.40519595943617e-149	0.674631302607042	0.619	0.21	9.78818801918273e-145	SMOC2
CRISPLD1	4.24172210280672e-148	0.435408602305588	0.438	0.082	5.60670827548993e-144	CRISPLD1
JUNB	1.19082067915876e-147	-0.918435258736801	0.639	0.906	1.57402677371205e-143	JUNB
FLNA	2.37117468170904e-147	0.61293043484899	0.772	0.341	3.134218694283e-143	FLNA
COL6A2	2.81473490158528e-147	0.279302840415624	0.865	0.429	3.72051659291542e-143	COL6A2
NDUFA4L2	1.00795084071515e-146	1.0583668174846	0.612	0.209	1.33230942125729e-142	NDUFA4L2
CLU	1.10766885965234e-146	0.70747712031276	0.976	0.695	1.46411669868846e-142	CLU
TINAGL1	9.33771188219465e-143	0.455366733784553	0.778	0.323	1.23425875658849e-138	TINAGL1
