p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
S100A8	0	3.80890267167119	0.922	0.058	0	S100A8
S100A9	2.31312273183616e-314	3.53526290099239	0.971	0.141	3.05748562694103e-310	S100A9
SH3BGRL3	1.00622437808539e-226	1.28439467030805	0.995	0.788	1.33002738295327e-222	SH3BGRL3
SRGN	6.36465631525145e-209	1.85772955385262	1	0.532	8.41280271749936e-205	SRGN
CTSS	7.32688961488082e-187	1.45018591073603	0.971	0.263	9.68468269294946e-183	CTSS
AQP9	1.13591984677493e-183	0.664601145737833	0.558	0.004	1.50145885346711e-179	AQP9
EREG	3.15175828367703e-174	0.975018525960018	0.597	0.009	4.16599409936429e-170	EREG
CFP	3.26195584369088e-171	0.821921764595044	0.689	0.023	4.3116532341906e-167	CFP
FTH1	4.19391503789124e-162	1.38361081105695	1	1	5.54351689708465e-158	FTH1
LILRA5	3.69642946532444e-161	0.710426328652185	0.612	0.019	4.88594046726585e-157	LILRA5
COTL1	1.7487563948379e-160	1.28077206927231	0.937	0.306	2.31150620269673e-156	COTL1
CXCL2	1.93760289876698e-155	2.16609641846943	0.791	0.11	2.5611235115902e-151	CXCL2
TYROBP	9.88745868939627e-150	1.61651851436558	1	0.252	1.3069242895644e-145	TYROBP
VCAN	2.88415645884977e-147	1.4429275933257	0.947	0.247	3.81227800730763e-143	VCAN
MNDA	1.01866712077775e-145	1.22589701869058	0.898	0.134	1.34647420024403e-141	MNDA
LST1	2.84903124564667e-145	1.24427870436975	0.908	0.157	3.76584950049577e-141	LST1
FPR1	9.88785692208166e-144	1.10184875455285	0.888	0.125	1.30697692796075e-139	FPR1
STXBP2	9.67212068768232e-142	0.809606268421429	0.66	0.106	1.27846091249785e-137	STXBP2
CD300E	4.72206823179379e-138	0.541978107797323	0.51	0.01	6.24162978878503e-134	CD300E
FCER1G	1.43623021390303e-136	1.31378554726014	1	0.232	1.89840909673703e-132	FCER1G
