p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
S100B	0	2.68278934675685	0.995	0.053	0	S100B
PLP1	0	2.25436064723359	0.954	0.019	0	PLP1
GPM6B	0	2.15237409153731	0.991	0.079	0	GPM6B
LGI4	0	2.1031168140242	0.972	0.108	0	LGI4
PMP22	0	1.78378205770668	0.991	0.418	0	PMP22
SEMA3B	0	1.60381470322964	0.861	0.095	0	SEMA3B
CNP	0	1.01080051390463	0.708	0.154	0	CNP
MPZ	2.677074243765e-312	1.58517902566693	0.829	0.011	3.53855673540857e-308	MPZ
NDRG2	3.01949734799072e-310	1.38939390455043	0.889	0.269	3.99117159457413e-306	NDRG2
WSB1	4.16233410139069e-287	1.27002239265849	0.907	0.508	5.50177321521822e-283	WSB1
CRYAB	5.69789776672745e-279	1.97315913118322	0.981	0.363	7.53148126806035e-275	CRYAB
TUBB2B	3.33882760619186e-273	1.28178909118927	0.75	0.013	4.4132623298644e-269	TUBB2B
TSC22D4	1.55889789811967e-269	0.875366795358807	0.606	0.157	2.06055124173457e-265	TSC22D4
SCN7A	3.50924929470452e-250	1.47297068860117	0.778	0.05	4.63852571774043e-246	SCN7A
CDH19	5.07203675868904e-248	1.6401078794964	0.907	0.104	6.70421818763517e-244	CDH19
VWA1	2.14261471757976e-245	1.46680693298792	0.819	0.12	2.83210813369692e-241	VWA1
CTNNAL1	5.18847296059403e-239	0.973308045837223	0.671	0.123	6.85812355931319e-235	CTNNAL1
ALDH1A1	2.14466797791653e-237	1.46045388620602	0.778	0.186	2.83482213321007e-233	ALDH1A1
SAMHD1	2.74401605753032e-237	1.17547918052199	0.838	0.279	3.62704042484358e-233	SAMHD1
SBSPON	4.18757212032915e-213	1.20149332889131	0.764	0.088	5.53513282865106e-209	SBSPON
RPL13A	4.36945644165664e-206	-1.04604217254509	1	1	5.77554752458174e-202	RPL13A
SNCA	2.67670866942479e-202	0.898879890101928	0.606	0.081	3.53807351924569e-198	SNCA
NRXN1	2.68212700223166e-200	0.832055647854037	0.579	0.004	3.54523547154981e-196	NRXN1
