p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
ACTA2	7.88146033356894e-160	1.74744693477375	1	0.527	1.04177142689114e-155	ACTA2
MYL9	1.2094868905259e-144	1.37866214334478	1	0.635	1.59869977189713e-140	MYL9
TAGLN	3.04614581797795e-144	1.53086119814946	1	0.748	4.02639554220325e-140	TAGLN
CNN1	1.03629140604596e-127	1.48155896796424	0.851	0.183	1.36976998051155e-123	CNN1
CALD1	2.18735585032778e-124	1.16492528352423	0.996	0.585	2.89124696296326e-120	CALD1
FILIP1L	3.33510517740765e-124	1.24025574831672	0.788	0.282	4.40834202349743e-120	FILIP1L
TPM1	6.97864179836828e-117	1.17632192653483	0.971	0.453	9.22436872908319e-113	TPM1
ID4	4.2960455763847e-112	1.28561912361022	0.851	0.213	5.6785130428653e-108	ID4
TPM2	1.25569884753608e-111	1.1331002325914	0.988	0.486	1.65978273667319e-107	TPM2
MYLK	1.30326664436328e-106	1.05565092834318	0.813	0.198	1.72265785051938e-102	MYLK
CSRP1	6.39971041532481e-98	0.993230668560421	0.934	0.437	8.45913722697634e-94	CSRP1
PLN	6.30685581611329e-95	0.890617695938194	0.838	0.206	8.33640201773855e-91	PLN
DSTN	6.33913226224664e-95	0.958215551869747	0.996	0.795	8.3790650242376e-91	DSTN
CAV1	8.84704198228829e-94	0.967307013565138	0.921	0.413	1.16940200921887e-89	CAV1
TINAGL1	1.3437237804766e-89	0.859032956428905	0.934	0.342	1.77613409303397e-85	TINAGL1
SYNPO2	1.88717693520024e-89	0.83524044772225	0.66	0.143	2.49447047294767e-85	SYNPO2
MYL6	4.73031082300442e-80	0.706153194146229	1	0.983	6.25252484584724e-76	MYL6
SOD3	1.5257279620333e-79	0.92549192186273	0.942	0.424	2.01670722021561e-75	SOD3
PTRF	1.86378094752254e-78	0.770629527018804	0.946	0.542	2.4635456564353e-74	PTRF
ACTB	4.41812221970349e-76	0.831964076373726	1	1	5.83987395000408e-72	ACTB
PPP1R14A	5.23963641363772e-75	0.73310137733957	0.867	0.291	6.92575141154634e-71	PPP1R14A
PALLD	6.13506043899861e-73	0.761443932280489	0.763	0.256	8.10932288826836e-69	PALLD
NDUFA4	1.51779117165442e-72	0.662432016477683	0.992	0.867	2.00621637069281e-68	NDUFA4
ACTN4	1.6800036668859e-71	0.719986421399829	0.822	0.363	2.22062884688979e-67	ACTN4
CALM2	2.2505336906983e-70	0.63910600368221	1	0.941	2.97475543236502e-66	CALM2
ATF3	3.38567413574605e-66	0.853809957732834	0.672	0.241	4.47518407262913e-62	ATF3
CRYAB	5.74806578824955e-66	0.911638156682838	0.88	0.364	7.59779335890826e-62	CRYAB
DNAJB4	1.24641546138118e-65	0.671331580830964	0.568	0.191	1.64751195685365e-61	DNAJB4
HSPB1	2.1292181818153e-65	0.863675925773439	0.992	0.839	2.81440059272347e-61	HSPB1
SELM	3.24375069115008e-65	0.678540822618454	0.988	0.707	4.28758966356217e-61	SELM
ARID5B	6.25331799312203e-65	0.930059786143388	0.801	0.406	8.2656357233087e-61	ARID5B
LMOD1	1.10318653904851e-63	0.618031719168615	0.685	0.18	1.45819196731431e-59	LMOD1
NEXN	3.31442863017511e-62	0.623304358210968	0.71	0.202	4.38101176336546e-58	NEXN
IGFBP5	8.70270687080637e-62	1.07481082500351	0.697	0.227	1.15032379418319e-57	IGFBP5
AGT	9.94903181218194e-58	0.692075293439438	0.573	0.126	1.31506302493421e-53	AGT
CFL2	4.36426859865687e-57	0.570248658044205	0.631	0.233	5.76869023370465e-53	CFL2
