p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
MMRN1	3.67074699849137e-76	1.56307465059067	0.826	0.051	4.85199338260589e-72	MMRN1
PPFIBP1	1.28188150319709e-71	0.877916527626516	0.63	0.122	1.69439097092592e-67	PPFIBP1
TFPI	6.97069241375384e-64	1.62562411506505	0.87	0.352	9.21386123249983e-60	TFPI
GNAS	6.68802338864626e-51	1.15092351135305	0.891	0.478	8.84022931511263e-47	GNAS
SEMA3A	2.82038159042977e-50	0.842280474135166	0.522	0.011	3.72798038623006e-46	SEMA3A
GNG11	1.01599301376933e-43	1.43135125096358	0.978	0.38	1.3429395656003e-39	GNG11
SDPR	1.79890947902135e-43	1.43260964557827	0.804	0.15	2.37779854937043e-39	SDPR
AKAP12	2.52351695610061e-38	1.30270254608168	0.717	0.23	3.33558471257379e-34	AKAP12
THBD	6.00914959332996e-35	1.380673976743	0.848	0.219	7.94289393246354e-31	THBD
KANK3	1.35782597244668e-34	0.82887252413601	0.739	0.082	1.79477437038002e-30	KANK3
CD9	1.51125412455452e-34	1.42241498646492	0.978	0.657	1.99757570183617e-30	CD9
RAB11A	7.10537528235774e-31	0.837683354249247	0.913	0.347	9.39188504822046e-27	RAB11A
PROX1	5.37435048516013e-28	0.520665345950417	0.348	0.007	7.10381647128466e-24	PROX1
NTS	2.44834088625966e-27	1.74381254091504	0.217	0.003	3.23621698345802e-23	NTS
ARL6IP1	1.84464588747238e-26	0.761774879614854	0.696	0.42	2.43825293406099e-22	ARL6IP1
RAMP2	2.87832963610601e-26	1.14955610664464	0.891	0.207	3.80457611300493e-22	RAMP2
FXYD6	7.18586577098482e-26	0.861401981358088	0.696	0.149	9.49827737608774e-22	FXYD6
APP	6.47264172464819e-25	0.895865706285381	0.913	0.466	8.55553783163998e-21	APP
NR2F1	5.0574342690156e-24	0.501356485481643	0.478	0.021	6.68491661678482e-20	NR2F1
HYAL2	4.89442202602277e-23	1.19127352109945	0.87	0.208	6.46944703399689e-19	HYAL2
ANGPT2	2.37469539827286e-21	0.733393376043416	0.261	0.081	3.13887237743706e-17	ANGPT2
ARL4A	2.45763011456001e-21	0.641646189471936	0.609	0.16	3.24849548542543e-17	ARL4A
WFS1	5.66972283699675e-21	0.463164475674712	0.413	0.108	7.49423964594231e-17	WFS1
FABP4	1.67997038076054e-20	2.14053084967161	0.761	0.245	2.22058484928928e-16	FABP4
APOLD1	2.08758748219934e-20	1.07682075027461	0.696	0.189	2.75937313397109e-16	APOLD1
FLT4	2.30839998353754e-20	0.365771195239971	0.326	0.009	3.05124309823992e-16	FLT4
TMEM100	1.61471651616643e-19	1.05485708342385	0.413	0.041	2.13433229106879e-15	TMEM100
MGST2	1.86273752810224e-19	0.692851003246296	0.783	0.265	2.46216646464554e-15	MGST2
DNASE1L3	6.02459132919461e-19	1.51176318498996	0.457	0.044	7.96330481892943e-15	DNASE1L3
PCDH12	9.43153641047309e-19	0.449576737551868	0.457	0.033	1.24666048273633e-14	PCDH12
EPHB4	5.02908820477518e-18	0.494481064305276	0.565	0.068	6.64744878907183e-14	EPHB4
NRP2	6.59735632622987e-18	0.589102645711232	0.478	0.088	8.72038559201064e-14	NRP2
ELK3	6.73195921580586e-18	0.609543106118415	0.587	0.112	8.89830369145219e-14	ELK3
CLDN5	8.4697996789362e-18	1.71439117359009	0.609	0.132	1.11953812156179e-13	CLDN5
ADAMTS5	1.16186345562941e-17	0.713389955064573	0.217	0.026	1.53575111565095e-13	ADAMTS5
GYPC	1.19244773122513e-17	0.778974532046185	0.739	0.397	1.57617741113338e-13	GYPC
RAMP3	1.55147950611117e-17	0.40328814550903	0.652	0.139	2.05074561117774e-13	RAMP3
ANXA2	2.47764285504269e-17	0.731547065733027	0.978	0.847	3.27494832579543e-13	ANXA2
HOXD8	4.54273614690163e-17	0.392228710044311	0.391	0.024	6.00458863897458e-13	HOXD8
SCN3B	7.15810675704544e-17	0.27466086317606	0.239	0.007	9.46158551146267e-13	SCN3B
S100A10	1.88716663389726e-16	0.802011539375797	1	0.756	2.49445685668539e-12	S100A10
POLR2L	3.32091576067824e-16	0.641217913697756	1	0.773	4.3895864524645e-12	POLR2L
PDPN	5.87375551488631e-16	0.506508171169512	0.391	0.037	7.76393003957672e-12	PDPN
LAYN	7.17249570557728e-16	0.405721332220255	0.391	0.04	9.48060482363205e-12	LAYN
SHC1	4.4420278590452e-15	0.585844913406033	0.609	0.162	5.87147242408595e-11	SHC1
SLC9A3R2	6.04632260294575e-15	0.954150792482537	0.696	0.195	7.9920292165737e-11	SLC9A3R2
ATP5E	6.41446813848787e-15	0.628504097015949	1	0.954	8.47864398545326e-11	ATP5E
IGFBP5	6.77327772261083e-15	1.7372984780476	0.457	0.236	8.952918493747e-11	IGFBP5
FAM43A	1.09504389485279e-14	0.478466322517919	0.413	0.062	1.44742902021642e-10	FAM43A
PLSCR4	1.55543918179621e-14	0.546928027935436	0.587	0.189	2.05597951049823e-10	PLSCR4
SEMA3D	1.68510244900128e-14	0.312718912371534	0.283	0.016	2.2273684170899e-10	SEMA3D
GPM6A	1.83463253273855e-14	0.367756409179769	0.391	0.033	2.42501728177382e-10	GPM6A
SLC16A11	5.71181486275334e-14	0.25525410494021	0.217	0.01	7.54987688558737e-10	SLC16A11
EGFL7	6.130870071287e-14	0.760993948064923	0.739	0.203	8.10378406022716e-10	EGFL7
B3GNT7	7.14822922865514e-14	0.417827718500825	0.261	0.027	9.44852939443636e-10	B3GNT7
GPIHBP1	7.33254039052229e-14	0.443984610800275	0.283	0.025	9.69215188819236e-10	GPIHBP1
AFAP1L1	8.96319953768112e-14	0.322564788792294	0.391	0.035	1.18475571489069e-09	AFAP1L1
SMAD1	1.47582870026687e-13	0.30128830941935	0.326	0.028	1.95075037601274e-09	SMAD1
STMN1	3.31726912613728e-13	0.745583842281673	0.5	0.212	4.38476633092826e-09	STMN1
LAMA4	5.2155193728447e-13	0.42018234988305	0.522	0.089	6.89387350702612e-09	LAMA4
ROBO4	6.87326236285519e-13	0.458545885073335	0.457	0.066	9.08507819122199e-09	ROBO4
HEBP1	7.53495850374236e-13	0.412187969747794	0.5	0.237	9.95970815024666e-09	HEBP1
RASIP1	9.67613065949909e-13	0.455967056006517	0.565	0.114	1.27899095057259e-08	RASIP1
TIE1	1.37000168480537e-12	0.417788471262845	0.457	0.065	1.81086822697573e-08	TIE1
LYVE1	1.37723273145441e-12	0.908451609736903	0.5	0.084	1.82042622443644e-08	LYVE1
TSTA3	1.60253002249743e-12	0.341796948545946	0.348	0.144	2.1182241837371e-08	TSTA3
GJA1	2.12556620984984e-12	0.58680635082893	0.435	0.099	2.80957341617952e-08	GJA1
EMCN	2.53297269120189e-12	0.483871361189223	0.543	0.107	3.34808330323066e-08	EMCN
FABP5	2.90182271181984e-12	1.02542548830482	0.587	0.25	3.83562926048347e-08	FABP5
STOM	2.92443083588367e-12	0.611735193111996	0.804	0.421	3.86551267887103e-08	STOM
PLAT	4.74747596464609e-12	1.02835240862151	0.478	0.187	6.2752137300692e-08	PLAT
S100A16	5.47742731508026e-12	0.641659411541553	0.674	0.275	7.24006342507308e-08	S100A16
