p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
TPM2	0	2.2549131261745	1	0.469	0	TPM2
ACTA2	0	2.06807308357084	1	0.511	0	ACTA2
MYL9	0	2.04407155072853	1	0.623	0	MYL9
CNN1	0	1.87933416781371	0.988	0.154	0	CNN1
PPP1R14A	0	1.81304330508004	1	0.265	0	PPP1R14A
MYH11	0	1.8093935630882	0.998	0.176	0	MYH11
DSTN	0	1.79720174893952	1	0.789	0	DSTN
TAGLN	0	1.71630525292906	1	0.74	0	TAGLN
RGS5	0	1.66847796078153	0.902	0.163	0	RGS5
PLN	0	1.66554611653971	0.987	0.177	0	PLN
ACTG2	0	1.56296053014381	0.757	0.055	0	ACTG2
RAMP1	0	1.54278316236902	0.96	0.125	0	RAMP1
HSPB1	0	1.53387397578527	1	0.833	0	HSPB1
CALD1	0	1.50138765231913	1	0.572	0	CALD1
CSRP1	0	1.47685851934739	0.998	0.417	0	CSRP1
TPM1	0	1.39104631541382	0.995	0.436	0	TPM1
PDLIM3	0	1.32414030078105	0.95	0.249	0	PDLIM3
SOD3	0	1.26853684160601	0.99	0.405	0	SOD3
SORBS2	0	1.25493881407318	0.902	0.121	0	SORBS2
CCDC3	0	1.2093547550091	0.898	0.188	0	CCDC3
FLNA	0	1.17878948952529	0.965	0.338	0	FLNA
ACTN1	0	1.12234585459744	0.943	0.337	0	ACTN1
NEXN	0	1.08216599079001	0.88	0.176	0	NEXN
PALLD	0	1.08199952412426	0.955	0.229	0	PALLD
MYLK	0	1.08034598167552	0.928	0.172	0	MYLK
MYL6	0	1.07151919235913	1	0.983	0	MYL6
LMOD1	0	1.06221179637886	0.932	0.151	0	LMOD1
PDLIM7	0	1.03456598222293	0.918	0.297	0	PDLIM7
NDUFA4	0	1.0316450111411	0.995	0.862	0	NDUFA4
CSRP2	0	1.02656486936404	0.837	0.141	0	CSRP2
SELM	0	1.01453902619321	1	0.697	0	SELM
SLC25A4	0	0.916351963593407	0.84	0.192	0	SLC25A4
HSPB7	0	0.912864287577484	0.767	0.059	0	HSPB7
MFGE8	3.92782188443791e-321	1.23876937968573	0.99	0.449	5.19179496685003e-317	MFGE8
PPP1R12B	5.42998401471009e-318	0.784719091238954	0.773	0.111	7.1773528706438e-314	PPP1R12B
ITGA8	1.69843443135019e-315	0.79719356921066	0.798	0.107	2.24499063135869e-311	ITGA8
SBSPON	2.24934422974409e-312	0.678887889944315	0.713	0.067	2.97318320287573e-308	SBSPON
MYH10	3.61067543239453e-312	1.02713846078552	0.817	0.135	4.77259078653908e-308	MYH10
SEPW1	2.59067285283503e-309	0.841949676175651	0.978	0.582	3.42435137687734e-305	SEPW1
NOV	4.45385409517851e-309	1.2674791947394	0.835	0.138	5.88710434300695e-305	NOV
KCNMB1	8.38315978593234e-309	0.777327052471149	0.788	0.116	1.10808606050454e-304	KCNMB1
VIM	8.21416813734026e-301	1.07727122923104	1	0.984	1.08574874439364e-296	VIM
MGST3	1.06583853263206e-298	0.832260147403659	0.977	0.658	1.40882537243306e-294	MGST3
EFHD1	9.36824843396248e-293	0.768499819426266	0.803	0.132	1.23829507800116e-288	EFHD1
WFDC1	1.18042206908039e-292	0.857048542831535	0.685	0.071	1.56028189091046e-288	WFDC1
ILK	2.5664722399158e-287	0.805809073418691	0.892	0.384	3.3923630067207e-283	ILK
MFAP4	2.70863174902985e-283	1.28651026059196	0.953	0.395	3.58026944586766e-279	MFAP4
CD151	4.7968706266403e-278	0.91619745603581	0.973	0.587	6.34050359429314e-274	CD151
PLS3	6.57596347504811e-278	0.938396480253818	0.93	0.33	8.6921085213186e-274	PLS3
HACD1	1.75280694508833e-275	0.600617016635349	0.617	0.055	2.31686022001776e-271	HACD1
FBLIM1	8.41880065587885e-273	0.766984031421067	0.808	0.157	1.11279707069407e-268	FBLIM1
CRYAB	1.97601291151351e-268	1.12320220404118	0.962	0.343	2.61189386643856e-264	CRYAB
RCAN2	1.03428266791268e-267	0.675280502333967	0.752	0.114	1.36711483044699e-263	RCAN2
TGFB1I1	2.68672481657236e-266	0.808631696415578	0.887	0.263	3.55131286254534e-262	TGFB1I1
ACTC1	2.23343904133437e-261	1.06666250223378	0.443	0.014	2.95215972483577e-257	ACTC1
PRKCDBP	5.57887783687359e-256	0.844419299954148	0.938	0.361	7.37416072477951e-252	PRKCDBP
KCNA5	1.52548235260222e-250	0.546364708125069	0.597	0.054	2.01638257366961e-246	KCNA5
ALDH1B1	2.93021031300455e-249	0.620801504075604	0.583	0.064	3.87315199172942e-245	ALDH1B1
CASQ2	4.93687582196345e-249	0.601176032623679	0.637	0.07	6.52556246147128e-245	CASQ2
TMSB10	2.21407344215741e-247	-1.41781708756031	0.912	0.991	2.92656227584367e-243	TMSB10
MAP1B	2.38074260280206e-245	0.885517311285356	0.897	0.274	3.14686557238376e-241	MAP1B
FABP3	1.42880436282227e-243	0.557999075359191	0.538	0.042	1.88859360677847e-239	FABP3
FRZB	1.66835083111451e-242	1.21124349796003	0.847	0.238	2.20522612856715e-238	FRZB
JUNB	2.0372951205518e-238	-1.34041642735825	0.41	0.914	2.69289669034537e-234	JUNB
GAPDH	5.04714681885641e-235	0.725286068935792	1	0.985	6.6713186651644e-231	GAPDH
SH3BGR	1.05837096882283e-231	0.521359021064175	0.555	0.053	1.39895474659002e-227	SH3BGR
SPEG	1.47749746023888e-231	0.500639347815298	0.555	0.05	1.95295614294375e-227	SPEG
SYNPO2	4.32946797803442e-230	0.723298516678286	0.717	0.123	5.72269077336589e-226	SYNPO2
FHL1	1.70407253094508e-227	1.00447212907262	0.948	0.405	2.25244307140321e-223	FHL1
MSRB3	5.1313821856472e-226	0.622134415953816	0.742	0.169	6.78266097298847e-222	MSRB3
SGCA	1.52034618994295e-223	0.590492445231169	0.723	0.129	2.00959359386659e-219	SGCA
FXYD1	8.89401795416744e-222	0.788652564742979	0.945	0.358	1.17561129318185e-217	FXYD1
SVIL	3.53015017241145e-220	0.607873129333172	0.675	0.119	4.66615249789345e-216	SVIL
RASL12	1.99285497845935e-215	0.5196036478463	0.577	0.067	2.63415571052756e-211	RASL12
HCFC1R1	2.78571702482919e-215	0.71784472170476	0.83	0.257	3.68216076341923e-211	HCFC1R1
TNS1	4.50449655940276e-205	0.602635298736054	0.678	0.135	5.95404355221856e-201	TNS1
CRIP2	1.82273324995211e-204	0.81463835545021	0.957	0.453	2.4092888097867e-200	CRIP2
SLC22A3	6.55436509995742e-204	0.431815314986524	0.477	0.037	8.66355978912372e-200	SLC22A3
SH3BGRL	9.66611781487303e-203	0.650493429023977	0.948	0.584	1.27766745276992e-198	SH3BGRL
HAND2	3.12935793800343e-202	0.450356615053002	0.507	0.048	4.13638532245293e-198	HAND2
SMTN	7.99534638086938e-202	0.686717450591015	0.748	0.195	1.05682488462331e-197	SMTN
LPP	7.10410971152021e-199	0.6405973586912	0.773	0.227	9.39021221668741e-195	LPP
OGN	1.30692559576189e-198	0.776032809357371	0.805	0.212	1.72749425247807e-194	OGN
CAV1	7.93556754441002e-197	0.765470061346405	0.95	0.395	1.04892331802012e-192	CAV1
FOS	1.01772445908942e-196	-1.36306966491522	0.205	0.777	1.3452281900244e-192	FOS
MCAM	5.42643208304759e-196	0.640463915908695	0.708	0.152	7.1726579273723e-192	MCAM
PKIG	5.29926815467933e-194	0.628500940533535	0.823	0.263	7.00457264685514e-190	PKIG
CPE	3.32620739971267e-192	0.658783419377142	0.963	0.393	4.39658094094021e-188	CPE
MAOB	4.73481739436399e-191	0.546369035664223	0.615	0.099	6.25848163187032e-187	MAOB
PFN2	5.48266390683192e-190	0.595182937621296	0.717	0.174	7.24698515205043e-186	PFN2
SLMAP	6.62774368099925e-187	0.54809410801036	0.608	0.108	8.76055159754481e-183	SLMAP
HSPB8	2.78360675099017e-185	0.519167551442897	0.597	0.097	3.67937140345881e-181	HSPB8
TINAGL1	4.04944090984181e-185	0.523261399318885	0.903	0.325	5.3525509946289e-181	TINAGL1
PPP1R12A	3.8068893845489e-184	0.665379992306935	0.8	0.291	5.03194638849673e-180	PPP1R12A
ACTN4	5.09593915215298e-182	0.680649407366507	0.873	0.346	6.73581237131581e-178	ACTN4
IGFBP2	1.3736439869003e-181	0.562073231200535	0.77	0.205	1.81568262188482e-177	IGFBP2
COL18A1	4.09123433734748e-181	0.668256793418734	0.788	0.235	5.40779354710589e-177	COL18A1
PTRF	8.9013244966787e-180	0.675732927350265	0.972	0.527	1.17657707197099e-175	PTRF
B2M	2.06729477194363e-179	-1.01579131323064	1	1	2.73255022955509e-175	B2M
BGN	4.46262159958747e-179	0.484690998849909	0.965	0.419	5.89869323033472e-175	BGN
FAM129A	2.28336604261383e-176	0.540541359731745	0.648	0.142	3.01815323512696e-172	FAM129A
PGAM2	3.08837260225097e-175	0.453352701979924	0.378	0.022	4.08221090565534e-171	PGAM2
CFL2	7.82363189202872e-174	0.600636955338081	0.722	0.216	1.03412766348836e-169	CFL2
CRIP1	2.3542414568041e-173	0.75310616110384	0.818	0.279	3.11183635760365e-169	CRIP1
SMOC2	4.37233391501475e-173	0.618916925417929	0.765	0.21	5.77935096886649e-169	SMOC2
RBPMS	1.49595446526436e-172	0.547286476364678	0.707	0.178	1.97735261218643e-168	RBPMS
NGFRAP1	8.1322757706439e-170	0.645304098294523	0.85	0.362	1.07492421136371e-165	NGFRAP1
FBXO32	1.75294585924624e-169	0.508606321817624	0.572	0.094	2.31704383675168e-165	FBXO32
MYOZ1	3.61575579813261e-168	0.40030479205681	0.475	0.054	4.77930601397169e-164	MYOZ1
MRVI1	4.17808886615514e-167	0.408682409648527	0.487	0.06	5.52259786328387e-163	MRVI1
DKK3	1.49419309945685e-165	0.59475901977983	0.762	0.217	1.97502443886206e-161	DKK3
CCDC107	1.19463113712639e-163	0.583573734669864	0.802	0.304	1.57906343705366e-159	CCDC107
ADI1	5.10137436481278e-163	0.632643950838006	0.83	0.369	6.74299663540954e-159	ADI1
BCAM	3.98959776741931e-161	0.59350117163919	0.817	0.27	5.27345032897484e-157	BCAM
CAP2	9.17675798336413e-161	0.386540628980718	0.447	0.05	1.21298387024107e-156	CAP2
PPP1R3C	1.75408861871023e-159	0.437396568701582	0.472	0.059	2.31855433621118e-155	PPP1R3C
CAMK2G	5.13738676597624e-158	0.444488637404787	0.535	0.098	6.79059782726739e-154	CAMK2G
EID1	2.99575640086045e-157	0.547897338957561	0.982	0.767	3.95979081065734e-153	EID1
IER2	1.11881180677095e-154	-0.90684501445228	0.195	0.705	1.47884544618984e-150	IER2
DMPK	2.10487367110555e-154	0.409015377888186	0.497	0.072	2.78222201846731e-150	DMPK
ASPN	1.80954634860935e-153	0.723893595830094	0.625	0.138	2.39185836359184e-149	ASPN
CSDC2	6.85881335519165e-153	0.383801227344108	0.448	0.054	9.06597949289232e-149	CSDC2
RERGL	1.37987926532219e-151	0.325508196939614	0.418	0.059	1.82392441290287e-147	RERGL
PARK7	1.42589602657461e-151	0.515171971880573	0.93	0.654	1.88474936792632e-147	PARK7
ELN	1.51310776604523e-149	0.734812075347029	0.673	0.187	2.00002584515859e-145	ELN
LDB3	5.9394559379275e-148	0.34713348124612	0.387	0.036	7.85077285875257e-144	LDB3
RPL28	2.44380483279815e-146	-0.773532952300947	0.97	0.994	3.23022122799259e-142	RPL28
SBDS	1.3996697588987e-145	0.585009150823157	0.898	0.518	1.8500834873123e-141	SBDS
SUSD5	1.61245168296976e-145	0.36435521546577	0.415	0.046	2.13133863454943e-141	SUSD5
SOD1	4.9292800794581e-145	0.53547504556425	0.952	0.679	6.51552240902771e-141	SOD1
TTLL7	5.88322107167817e-145	0.412162883069953	0.522	0.091	7.77644161254421e-141	TTLL7
DES	1.42732304652541e-144	0.957964934590401	0.362	0.032	1.88663560289729e-140	DES
MOB2	3.72161546189307e-143	0.493907382512512	0.615	0.184	4.91923131753026e-139	MOB2
IGFBP7	1.01414646954899e-142	0.739067860642358	1	0.868	1.34049880344986e-138	IGFBP7
SNRPN	1.02466068385717e-141	0.539378636760124	0.753	0.338	1.35439649192241e-137	SNRPN
MAP3K7CL	8.23050664109234e-141	0.579754279144309	0.475	0.076	1.08790836781959e-136	MAP3K7CL
CYBA	2.62358806163677e-140	-1.38148170746246	0.185	0.652	3.46785869987149e-136	CYBA
HSPB6	6.5177770635297e-140	0.609426762748734	0.69	0.2	8.61519772257356e-136	HSPB6
LGALS1	7.51334008936657e-140	0.610903557597674	1	0.867	9.93113293012473e-136	LGALS1
CALM2	1.45458233268236e-136	0.537517489293387	1	0.939	1.92266692733954e-132	CALM2
SPINT2	6.45911548749852e-136	0.642959102414813	0.69	0.228	8.53765885137555e-132	SPINT2
FXYD5	7.62548433364589e-136	-0.776183718979573	0.088	0.558	1.00793651922131e-131	FXYD5
GSTP1	9.9194290486996e-136	0.505345273755615	0.988	0.863	1.31115013165711e-131	GSTP1
LTBP1	2.59463706402884e-134	0.401515157845042	0.675	0.202	3.42959127123332e-130	LTBP1
AOC3	2.38419852044837e-133	0.468538335082622	0.633	0.166	3.15143360432865e-129	AOC3
LGR6	2.5013589154147e-130	0.316524447842496	0.347	0.032	3.30629621439515e-126	LGR6
ZBTB16	7.59086994935642e-130	0.513697021037304	0.63	0.18	1.00336118990593e-125	ZBTB16
KRT8	2.95716018977543e-129	0.363180679678744	0.473	0.084	3.90877433884516e-125	KRT8
TSPAN2	1.70466590429597e-128	0.335556268264139	0.39	0.048	2.25322739229841e-124	TSPAN2
CAV2	1.72704547469879e-128	0.521306808559268	0.757	0.272	2.28280870845686e-124	CAV2
S100A6	1.00043604631075e-127	0.602010864219077	1	0.971	1.32237636601355e-123	S100A6
SUGCT	4.05258691022694e-125	0.41875594420432	0.44	0.07	5.35670937793797e-121	SUGCT
ZFP36	1.52799328894447e-124	-1.17794295374291	0.392	0.793	2.0197015293268e-120	ZFP36
COX7A1	1.81093700068728e-121	0.544421160884984	0.803	0.35	2.39369652750845e-117	COX7A1
PCDH7	1.81861821871511e-121	0.29965939379477	0.322	0.029	2.40384956149763e-117	PCDH7
CD74	3.66857129787008e-121	-2.49874330553355	0.513	0.801	4.84911754152467e-117	CD74
ISCU	1.00814308093148e-119	0.492863735377062	0.9	0.522	1.33256352437523e-115	ISCU
CRNDE	4.25329451606135e-119	0.346737478490303	0.455	0.082	5.6220046913299e-115	CRNDE
WDR1	5.40836833410122e-118	0.514621578043321	0.805	0.404	7.14878126401499e-114	WDR1
RBPMS2	7.93944865269894e-117	0.307985294397209	0.348	0.04	1.04943632291375e-112	RBPMS2
KANK2	1.36558849223984e-116	0.395919478062006	0.577	0.151	1.80503486904262e-112	KANK2
MAGED2	1.04013823928067e-115	0.4947238230974	0.81	0.38	1.37485472468119e-111	MAGED2
COL8A1	2.54236558868255e-114	0.267191378419454	0.502	0.128	3.36049883512059e-110	COL8A1
ALDOA	3.77113977578413e-114	0.451859203987932	0.985	0.845	4.98469255563146e-110	ALDOA
CAMTA1	7.15605962145085e-114	0.44929991475068	0.753	0.33	9.45887960763373e-110	CAMTA1
SPARCL1	7.69207353079456e-114	0.59080111592965	0.995	0.729	1.01673827930043e-109	SPARCL1
IGFBP4	8.69753946277854e-113	-1.28536203197367	0.148	0.557	1.14964076619007e-108	IGFBP4
NUPR1	1.49696804850536e-112	0.485165929705816	0.9	0.46	1.97869236651438e-108	NUPR1
IFITM2	1.57973947825503e-111	-0.763747284915072	0.643	0.887	2.0880996423575e-107	IFITM2
TSC22D1	2.0823987741911e-111	0.475312182371469	0.84	0.381	2.75251469972579e-107	TSC22D1
SOCS3	7.05964387771261e-111	-0.89134068568152	0.06	0.473	9.33143727756053e-107	SOCS3
CALM3	8.73411086918428e-111	0.472589499978407	0.817	0.398	1.15447477468878e-106	CALM3
COX7C	2.45799943650261e-110	0.424253413234734	0.99	0.917	3.24898365516914e-106	COX7C
PEBP1	3.74142377233295e-110	0.485579047429784	0.935	0.669	4.9454139422697e-106	PEBP1
SAT1	6.85356967417481e-110	-1.12730893727399	0.328	0.724	9.05904839532426e-106	SAT1
DUSP26	8.20743210505751e-109	0.259663093400017	0.288	0.026	1.0848583756465e-104	DUSP26
ZFYVE21	9.63612883818316e-108	0.424901418619763	0.692	0.262	1.27370350983105e-103	ZFYVE21
RASSF3	1.42037946758648e-107	0.404271601441464	0.443	0.097	1.87745758025582e-103	RASSF3
ZFP36L2	2.68843574090497e-107	-0.944001065675839	0.305	0.701	3.55357436232819e-103	ZFP36L2
GMPR	2.00876745095269e-106	0.314428344452241	0.377	0.061	2.65518881666927e-102	GMPR
DUSP1	5.14017425518348e-106	-0.845441170541082	0.507	0.852	6.79428233050152e-102	DUSP1
GEM	5.16997253822733e-105	0.414444164012882	0.605	0.188	6.83366970102889e-101	GEM
TCEAL3	8.5001368743907e-105	0.434571419898461	0.635	0.223	1.12354809205696e-100	TCEAL3
KCNAB1	2.07239933205024e-104	0.28644482088514	0.332	0.043	2.739297437104e-100	KCNAB1
SRGN	2.0897969086028e-104	-1.44571179411345	0.165	0.56	2.76229355379118e-100	SRGN
CCNI	5.91714593397991e-104	0.462605691199952	0.968	0.835	7.82128349553464e-100	CCNI
ACTB	1.42355801046741e-103	0.490589596486825	1	1	1.88165897823583e-99	ACTB
ISYNA1	7.94253067873514e-103	0.389340138172953	0.557	0.159	1.04984370511521e-98	ISYNA1
RPLP0	2.0360453052221e-102	-0.534981598316981	0.953	0.989	2.69124468444257e-98	RPLP0
CDH2	4.37583122051564e-102	0.271470404831744	0.323	0.041	5.78397370727757e-98	CDH2
GMDS	5.90481424231348e-102	0.386530618137005	0.513	0.134	7.80498346548996e-98	GMDS
NME4	7.41487125398667e-102	0.421643862651623	0.628	0.229	9.80097682351958e-98	NME4
MRPS6	1.46686406287854e-100	0.400492261516349	0.575	0.18	1.93890091831285e-96	MRPS6
RASL11B	2.97434790318209e-100	0.287607269550941	0.305	0.035	3.93149305842609e-96	RASL11B
SMARCD3	1.44719946038979e-99	0.320682120780408	0.428	0.087	1.91290824674323e-95	SMARCD3
CHURC1	1.46958177293522e-99	0.422261952562489	0.738	0.336	1.94249318746577e-95	CHURC1
HEY2	9.3753225387548e-99	0.301532546558156	0.355	0.055	1.23923013317261e-94	HEY2
LBH	1.03636130905151e-98	0.383432346118076	0.547	0.157	1.36986237830428e-94	LBH
FMOD	1.0797821166122e-98	0.409987655626156	0.592	0.187	1.42725600173801e-94	FMOD
COL14A1	1.11066646561399e-98	0.371318767194709	0.535	0.149	1.46807893424857e-94	COL14A1
PYGB	1.97099109153699e-98	0.321285385832181	0.438	0.099	2.60525602479359e-94	PYGB
AEBP1	3.85923016028502e-98	0.317056893825514	0.792	0.36	5.10113042586474e-94	AEBP1
PGF	1.06935298914253e-97	0.371265568097074	0.442	0.097	1.4134707810486e-93	PGF
FOXS1	2.42023663699254e-97	0.325325857005908	0.373	0.064	3.19906878677674e-93	FOXS1
ARHGDIB	3.34548310364281e-97	-0.693919686861816	0.197	0.598	4.42205956639506e-93	ARHGDIB
COPRS	4.36927717507743e-96	0.381646627197317	0.592	0.205	5.77531057001735e-92	COPRS
EGR1	1.66847359214146e-95	-0.848021611610613	0.085	0.477	2.20538839409259e-91	EGR1
TMEM159	2.60448745860043e-95	0.344188281872005	0.457	0.11	3.44261152277805e-91	TMEM159
PTMS	3.62918671735315e-95	0.456251706278897	0.9	0.547	4.7970590029974e-91	PTMS
CFD	1.89880179604636e-94	-2.52140858910838	0.273	0.655	2.50983621401409e-90	CFD
PRKG1	2.12820854711662e-94	0.306216783370824	0.385	0.072	2.81306605757874e-90	PRKG1
NEAT1	4.87155661736443e-94	-0.792419539109238	0.537	0.832	6.4392235368323e-90	NEAT1
NTRK3	2.35965073086248e-93	0.281978458595891	0.345	0.055	3.11898633605403e-89	NTRK3
S100A10	7.14532999129327e-93	-0.869402287542742	0.508	0.77	9.44469718249145e-89	S100A10
TCEAL1	1.994376752037e-92	0.399759209388741	0.553	0.184	2.63616719084251e-88	TCEAL1
ESD	2.5666268864451e-92	0.428508520935768	0.862	0.494	3.39256741850314e-88	ESD
DAPK3	7.27174805381699e-92	0.346106508962161	0.513	0.15	9.6117965775353e-88	DAPK3
LIMS2	1.19469495072666e-90	0.309675550430397	0.482	0.127	1.5791477858705e-86	LIMS2
GADD45A	1.45977649929724e-90	0.428287011118617	0.567	0.184	1.92953257677109e-86	GADD45A
TPM3	5.37513311387602e-90	-0.560201647511572	0.098	0.463	7.10485094992132e-86	TPM3
EMP1	1.10975272098063e-89	-0.638040375355177	0.027	0.362	1.46687114659219e-85	EMP1
RPS27L	1.9496837233689e-89	0.54007319968473	0.918	0.707	2.57709194554901e-85	RPS27L
EFEMP1	5.98034660677648e-89	-0.376070692335898	0.56	0.337	7.90482214483715e-85	EFEMP1
FILIP1	1.05288768236989e-88	0.326937776023147	0.438	0.105	1.39170693855652e-84	FILIP1
MSC	1.32590390728027e-88	0.302084705214073	0.412	0.091	1.75257978464306e-84	MSC
DDX5	1.48851596617484e-88	-0.544581449514018	0.855	0.957	1.9675204040899e-84	DDX5
CNBP	1.31139447747484e-87	0.394904281779055	0.912	0.717	1.73340122032624e-83	CNBP
RNF115	1.9070945724974e-87	0.360253437258761	0.508	0.164	2.52079760592707e-83	RNF115
SH3BGRL3	7.29664366745766e-87	-0.721281155112063	0.538	0.806	9.64470359964554e-83	SH3BGRL3
GMFG	8.79443927368218e-87	-0.531658042483888	0.025	0.351	1.16244898319531e-82	GMFG
FCGRT	1.30394429350641e-86	-0.69701373219851	0.235	0.589	1.72355356715677e-82	FCGRT
GULP1	6.03903108646566e-86	0.314736422601265	0.473	0.128	7.98239129009031e-82	GULP1
ANTXR1	1.02151433329183e-85	0.299754852064366	0.437	0.108	1.35023764574514e-81	ANTXR1
CPED1	3.13011726681957e-85	0.289954934191619	0.387	0.082	4.13738900328211e-81	CPED1
SEPP1	4.01318103929704e-85	-1.2234349523869	0.257	0.609	5.30462269774283e-81	SEPP1
PTP4A3	4.12718071437888e-85	0.315801136396105	0.475	0.135	5.45530746826601e-81	PTP4A3
ADH5	4.74453524309689e-85	0.392849579300865	0.687	0.302	6.27132668432547e-81	ADH5
ITM2A	2.98784599242791e-84	-0.771385585520797	0.048	0.379	3.94933483279121e-80	ITM2A
MRFAP1	5.70469559188173e-84	0.413522898319206	0.828	0.494	7.54046663334927e-80	MRFAP1
TMEM47	1.00439016909263e-83	0.346894332327189	0.542	0.176	1.32760292550664e-79	TMEM47
PDLIM5	1.35224631552671e-83	0.3794920480331	0.572	0.206	1.78739917986321e-79	PDLIM5
ROCK1	2.05197552993126e-83	0.377711264330296	0.66	0.276	2.71230125546314e-79	ROCK1
NPC2	4.44855051844739e-83	-0.811103857505401	0.468	0.735	5.88009407528376e-79	NPC2
PAM	6.30234438127834e-83	0.357072735639498	0.568	0.198	8.33043880317371e-79	PAM
RRAD	4.6625477216344e-82	0.269034585162012	0.283	0.04	6.16295557845635e-78	RRAD
CDH13	1.49902359770021e-81	0.272978938861548	0.367	0.077	1.98140939144014e-77	CDH13
C7	2.60503749853329e-81	-1.56077219870775	0.048	0.37	3.44333856556131e-77	C7
NPNT	2.72615014582262e-81	0.269393470276631	0.328	0.058	3.60342526274833e-77	NPNT
HADH	3.2006938825684e-81	0.320346862039118	0.46	0.133	4.23067717397891e-77	HADH
NDUFS5	3.86045134156512e-80	0.388286362184399	0.902	0.698	5.10274458328077e-76	NDUFS5
MAP4	3.92570163776285e-80	0.364142842761581	0.56	0.208	5.18899242479493e-76	MAP4
YWHAQ	4.19199314169296e-80	0.370359150750607	0.845	0.477	5.54097653468975e-76	YWHAQ
