p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
CFD	0	2.59663420958395	0.941	0.595	0	CFD
FBLN1	0	2.50823333587079	0.999	0.269	0	FBLN1
C7	0	2.46541629004856	0.994	0.269	0	C7
DCN	0	2.22004464630555	1	0.5	0	DCN
APOD	0	2.16629673952768	0.993	0.446	0	APOD
CXCL14	0	2.09559138271652	0.62	0.071	0	CXCL14
SERPINF1	0	2.05049259829205	0.997	0.255	0	SERPINF1
PTGDS	0	2.04475792084593	0.854	0.194	0	PTGDS
C3	0	2.02954502296498	0.972	0.161	0	C3
GSN	0	1.87992845383485	1	0.888	0	GSN
RARRES1	0	1.84322568511854	0.791	0.105	0	RARRES1
GPX3	0	1.83311978792577	0.977	0.559	0	GPX3
HP	0	1.79671142928014	0.395	0.03	0	HP
SFRP2	0	1.78377461827992	0.694	0.04	0	SFRP2
MYOC	0	1.62144953284905	0.655	0.049	0	MYOC
LUM	0	1.52455228464612	0.979	0.268	0	LUM
MGST1	0	1.49068205685827	0.922	0.108	0	MGST1
MGP	0	1.48585362168169	1	0.876	0	MGP
CCL2	0	1.4827313492263	0.816	0.35	0	CCL2
FBLN2	0	1.47107627056691	0.952	0.2	0	FBLN2
IGFBP6	0	1.42007994227455	0.977	0.509	0	IGFBP6
NNMT	0	1.38060851636545	0.983	0.516	0	NNMT
CYR61	0	1.35800869383911	0.925	0.416	0	CYR61
CCDC80	0	1.30486878586448	0.874	0.215	0	CCDC80
SERPING1	0	1.30337589733969	0.998	0.622	0	SERPING1
CFH	0	1.26087768648448	0.957	0.334	0	CFH
SRPX	0	1.2544277695217	0.809	0.152	0	SRPX
FBLN5	0	1.23996754385092	0.923	0.213	0	FBLN5
PTN	0	1.21860216547486	0.694	0.097	0	PTN
ITM2A	0	1.21295190913982	0.919	0.288	0	ITM2A
PCOLCE	0	1.2058785920617	0.887	0.203	0	PCOLCE
NR4A1	0	1.16566626986471	0.794	0.316	0	NR4A1
MMP2	0	1.15579204620233	0.853	0.17	0	MMP2
EFEMP1	0	1.12314362947003	0.935	0.271	0	EFEMP1
RARRES2	0	1.08736629547367	0.887	0.281	0	RARRES2
FGF7	0	1.08300443053676	0.879	0.182	0	FGF7
MFAP5	0	1.02084776061202	0.667	0.094	0	MFAP5
TIMP3	0	1.02056533302123	0.988	0.476	0	TIMP3
ZFP36	0	1.0153976355252	0.951	0.749	0	ZFP36
DPT	0	0.986191882918759	0.76	0.126	0	DPT
FMO2	0	0.982221875633499	0.731	0.112	0	FMO2
COL6A2	0	0.981345224564385	0.972	0.39	0	COL6A2
EGR1	0	0.979094118407827	0.93	0.394	0	EGR1
TIMP1	0	0.974674192792543	0.999	0.861	0	TIMP1
PI16	0	0.969398662742058	0.566	0.077	0	PI16
IGFBP4	0	0.930352875079748	0.948	0.482	0	IGFBP4
IGF1	0	0.926817242607818	0.58	0.095	0	IGF1
NUPR1	0	0.919799546780237	0.914	0.425	0	NUPR1
PODN	0	0.896656868871113	0.765	0.106	0	PODN
HTRA3	0	0.895746503615302	0.632	0.071	0	HTRA3
COL1A2	0	0.894458514641633	0.903	0.291	0	COL1A2
GPC3	0	0.884694165036186	0.681	0.075	0	GPC3
CYBRD1	0	0.880732403834778	0.838	0.212	0	CYBRD1
PRELP	0	0.867748879827909	0.923	0.307	0	PRELP
PTPRS	0	0.847015742355134	0.563	0.105	0	PTPRS
MFAP4	0	0.834228444742869	0.943	0.354	0	MFAP4
LRP1	0	0.792106180356611	0.788	0.211	0	LRP1
OLFML3	0	0.780277911641991	0.691	0.092	0	OLFML3
LTBP4	0	0.741298014753604	0.878	0.331	0	LTBP4
EPHX1	0	0.736122592432928	0.804	0.284	0	EPHX1
EMP1	0	0.735105572040248	0.809	0.283	0	EMP1
CRISPLD2	0	0.717931141763015	0.623	0.106	0	CRISPLD2
FSTL1	0	0.687573578551038	0.817	0.255	0	FSTL1
LAPTM4A	0	0.681925720374724	0.996	0.854	0	LAPTM4A
VIT	0	0.680694533701243	0.595	0.046	0	VIT
QSOX1	0	0.676081964045972	0.702	0.235	0	QSOX1
BICC1	0	0.673207989216883	0.615	0.078	0	BICC1
SCARA5	0	0.666179459018785	0.564	0.052	0	SCARA5
CP	0	0.664100368118113	0.577	0.068	0	CP
NTRK2	0	0.626929263317594	0.658	0.161	0	NTRK2
CYGB	0	0.612118089286097	0.619	0.13	0	CYGB
PDGFRL	0	0.604631131166976	0.505	0.07	0	PDGFRL
SFRP1	0	0.571674398622096	0.504	0.035	0	SFRP1
ABCA6	0	0.569184576328081	0.543	0.067	0	ABCA6
MEG3	0	0.524650956897435	0.554	0.095	0	MEG3
PDGFRA	0	0.498554218953033	0.498	0.06	0	PDGFRA
CNTFR	0	0.418122135014143	0.423	0.03	0	CNTFR
CHRDL1	0	0.414109130691496	0.423	0.039	0	CHRDL1
FAU	0	-0.548404389670822	0.985	0.998	0	FAU
RPS27A	0	-0.662312297059728	0.997	1	0	RPS27A
RPS7	0	-0.663307039018981	0.975	0.996	0	RPS7
RPS14	0	-0.672511926417124	0.996	1	0	RPS14
RPL27A	0	-0.679953671498338	0.995	0.999	0	RPL27A
PTMA	0	-0.687366922687352	0.988	0.999	0	PTMA
RPS3	0	-0.720077146672913	0.988	0.998	0	RPS3
RPS19	0	-0.835781907662395	0.996	1	0	RPS19
B2M	0	-0.938934663474104	0.999	1	0	B2M
TMSB4X	0	-1.18074498461124	0.999	0.998	0	TMSB4X
ALDH2	1.82804288961261e-322	0.687728761594087	0.737	0.302	2.41630709148995e-318	ALDH2
RPL19	2.92980927983859e-321	-0.566070431728454	0.995	0.999	3.87262190609065e-317	RPL19
STEAP1	1.3874104433691e-318	0.429039500393748	0.404	0.034	1.83387912404527e-314	STEAP1
RPL15	3.01079652050489e-318	-0.52520136627612	0.999	1	3.97967084080336e-314	RPL15
ARID5B	3.43664652262483e-318	0.654159625906723	0.868	0.354	4.54255937360551e-314	ARID5B
PLTP	6.31062589041772e-317	0.615187710556712	0.796	0.268	8.34138530195414e-313	PLTP
NEGR1	2.22832108917539e-311	0.439311403716705	0.454	0.055	2.94539481567203e-307	NEGR1
TNXB	5.82908009990428e-310	0.625563289315089	0.609	0.136	7.70487807605348e-306	TNXB
FIBIN	2.55869862331245e-309	0.635669081127063	0.626	0.145	3.38208784029439e-305	FIBIN
COL6A1	2.44231924760667e-305	0.620186037106175	0.831	0.317	3.22825758148649e-301	COL6A1
PTGFR	9.19497759080088e-305	0.40895213623744	0.373	0.028	1.21539213795206e-300	PTGFR
CXCL12	8.41841895936439e-302	0.863482246302986	0.774	0.299	1.11274661804878e-297	CXCL12
SOD2	1.21315943401672e-301	0.856494835253501	0.737	0.298	1.6035541398833e-297	SOD2
PLPP3	2.61934337936209e-301	0.628720348678004	0.66	0.193	3.46224807884081e-297	PLPP3
UAP1	7.60433583652921e-300	0.774800669256717	0.634	0.187	1.00514111087243e-295	UAP1
RPS6	1.48066246125172e-297	-0.656355113733804	0.999	1	1.95713964128253e-293	RPS6
CTSF	9.79178416393562e-297	0.610205817156449	0.704	0.241	1.29427803078901e-292	CTSF
CLU	6.85980051517842e-296	0.894895223799178	0.969	0.68	9.06728432096284e-292	CLU
PMP22	1.07381967294136e-294	0.620583239613396	0.852	0.373	1.41937484369389e-290	PMP22
LEPR	4.83261879851368e-293	0.538875001575124	0.448	0.066	6.38775552787538e-289	LEPR
RPL27	5.96923429807502e-292	-0.566297266791012	0.949	0.991	7.89013389519556e-288	RPL27
GPNMB	6.27446853339973e-291	0.618218412455496	0.707	0.219	8.29359250744776e-287	GPNMB
PTGIS	1.07698561447639e-289	0.605338907202916	0.569	0.133	1.42355958521489e-285	PTGIS
ABCA9	7.3945131662086e-285	0.444356004992021	0.407	0.045	9.77406750309452e-281	ABCA9
WISP2	1.87585115989283e-284	0.765903545254319	0.599	0.144	2.47950006314634e-280	WISP2
IFITM3	3.3732337272101e-281	0.617682161690508	1	0.918	4.45874034062632e-277	IFITM3
C6	3.49009409827155e-280	0.344761712134708	0.295	0.013	4.61320637909534e-276	C6
CST3	6.68303375627426e-279	0.621014350791508	1	0.949	8.83363401904332e-275	CST3
CTSK	1.62687361511737e-278	0.475411665956917	0.463	0.074	2.15040154446214e-274	CTSK
IGF2	1.73268156049094e-278	0.607022450698174	0.467	0.077	2.29025848665692e-274	IGF2
LGALS3BP	1.72633016040991e-277	0.624201273489479	0.763	0.303	2.28186320602982e-273	LGALS3BP
RPL18A	1.28305195696269e-276	-0.511478064170446	0.998	1	1.69593807671328e-272	RPL18A
RPS4X	2.34630807545501e-275	-0.59339310803273	0.994	0.999	3.10135001413644e-271	RPS4X
JUNB	2.88499730750695e-274	0.791572702046113	0.969	0.877	3.81338944106269e-270	JUNB
AOX1	4.7107933167474e-273	0.375704461775978	0.341	0.027	6.22672660607672e-269	AOX1
SCPEP1	6.07602822163306e-271	0.555209527705766	0.718	0.301	8.03129410335458e-267	SCPEP1
COL6A3	1.12779912126619e-270	0.507066237491606	0.49	0.092	1.49072487848964e-266	COL6A3
RPL37A	6.36872565063297e-267	-0.484418365999802	0.99	0.999	8.41818156500666e-263	RPL37A
TFPI	5.84556053642353e-266	0.579522323999828	0.772	0.298	7.72666191704462e-262	TFPI
RPL23A	9.35644471516519e-266	-0.545878388156458	0.996	0.999	1.23673486245053e-261	RPL23A
COL4A4	2.8411075641248e-263	0.356982438048831	0.337	0.028	3.75537597826016e-259	COL4A4
RPL41	3.98932599896399e-263	-0.506828746719696	1	1	5.27309110543061e-259	RPL41
HSD11B1	7.01935489344401e-263	0.456784912594474	0.358	0.035	9.27818329815429e-259	HSD11B1
LAMA2	2.81442192806529e-261	0.400708718662214	0.418	0.058	3.72010290451671e-257	LAMA2
RPL26	4.24015200150698e-259	-0.58656280125356	0.996	0.999	5.60463291559193e-255	RPL26
RPL35	6.64016147059839e-259	-0.494780509057543	0.989	0.998	8.77696543183695e-255	RPL35
LOX	2.17048882936351e-256	0.368527439073086	0.379	0.045	2.86895213465269e-252	LOX
RPS29	4.52260661267509e-256	-0.811324173563478	0.986	0.997	5.97798142063393e-252	RPS29
SERPINE2	5.08921734169262e-256	0.51486543872363	0.495	0.097	6.7269274822493e-252	SERPINE2
DHRS3	5.37328151016552e-256	0.578216163682112	0.553	0.145	7.10240350013678e-252	DHRS3
RPLP1	1.25586489889687e-252	-0.545453922073455	1	1	1.66000222336188e-248	RPLP1
MXRA8	1.38440389970692e-251	0.4820317281392	0.633	0.183	1.82990507463261e-247	MXRA8
RPS2	4.69891676486968e-250	-0.679801812531794	0.999	1	6.21102817980474e-246	RPS2
MYL6	7.22796680278771e-250	-0.792835242199524	0.946	0.989	9.55392651992479e-246	MYL6
TMEM98	7.90763860355467e-250	0.43089942284916	0.535	0.126	1.04523167061786e-245	TMEM98
ADD3	1.20472388790464e-249	0.485513493962018	0.601	0.166	1.59240403503235e-245	ADD3
FXYD5	1.55964419521509e-249	-0.726920091271445	0.155	0.584	2.06153769723531e-245	FXYD5
RPS16	5.07473693416949e-249	-0.503674603746518	0.989	0.998	6.70778727958524e-245	RPS16
RPS21	4.62835004010308e-247	-0.658018777188728	0.892	0.979	6.11775308300826e-243	RPS21
RPS18	3.69329824773146e-246	-0.667330818438689	0.998	0.999	4.88180162385144e-242	RPS18
RPLP2	2.17245256131466e-245	-0.58656286909001	0.999	0.999	2.87154779554571e-241	RPLP2
ABI3BP	2.20258551115873e-243	0.395356159591205	0.456	0.081	2.9113775286496e-239	ABI3BP
RPL9	5.26803721093621e-242	-0.495450764544699	0.995	0.998	6.96329158541548e-238	RPL9
RPL21	1.47969561777772e-241	-0.501427898870154	1	1	1.95586166757859e-237	RPL21
RPS23	8.64092571327341e-241	-0.538460148885475	0.995	0.999	1.14215756078048e-236	RPS23
RPL34	1.38562039768906e-240	-0.578469603094593	0.998	1	1.83151304166539e-236	RPL34
RPL32	2.14692233598208e-240	-0.56777369045387	0.999	1	2.83780194370111e-236	RPL32
CD248	8.96107519937949e-240	0.376767436228152	0.35	0.038	1.18447491985398e-235	CD248
STEAP2	8.08493405894106e-238	0.337243088536201	0.309	0.026	1.06866658391083e-233	STEAP2
SVEP1	3.15907169200605e-237	0.354696230024135	0.309	0.027	4.1756609624936e-233	SVEP1
PCOLCE2	2.6341507004652e-235	0.433015929150208	0.556	0.148	3.4818203958749e-231	PCOLCE2
RPS24	2.96627790002112e-235	-0.540521469166742	0.985	0.996	3.92082612824792e-231	RPS24
RPS25	1.66539864963045e-234	-0.507697260210005	0.993	0.999	2.20132393508153e-230	RPS25
TNFSF13B	2.62505590702504e-234	0.559274085455404	0.524	0.133	3.46979889790569e-230	TNFSF13B
INMT	4.99825930613414e-232	0.640733351615819	0.601	0.187	6.60669915084811e-228	INMT
NFE2L2	1.09228559193727e-231	0.512531529887123	0.802	0.428	1.44378309542269e-227	NFE2L2
PNRC1	1.75240845488428e-231	0.589008608977938	0.906	0.654	2.31633349566604e-227	PNRC1
GAS1	5.2467201538051e-231	0.34915691180146	0.328	0.034	6.93511469929958e-227	GAS1
MYC	7.07178492213378e-230	0.660917336299889	0.739	0.297	9.34748531007642e-226	MYC
THBS1	1.41160784045927e-229	0.674558900373813	0.598	0.175	1.86586324351906e-225	THBS1
GSTM5	3.51197898049599e-229	0.341590331504151	0.354	0.044	4.6421338164196e-225	GSTM5
RPL18	3.01714120855519e-228	-0.497158248182583	0.981	0.996	3.98805724946825e-224	RPL18
RPL38	4.1748945548085e-228	-0.546875556957553	0.945	0.991	5.51837562254588e-224	RPL38
RPL36	9.48563558130592e-228	-0.551169431446491	0.994	0.998	1.25381131113702e-223	RPL36
RPL13	4.1701503479907e-227	-0.507292836958294	1	1	5.5121047299741e-223	RPL13
S100A13	4.71260293688014e-227	0.55285867781133	0.739	0.32	6.22911856196817e-223	S100A13
RPL35A	6.77924857507371e-227	-0.489753021631957	0.996	1	8.96081076653243e-223	RPL35A
FAIM2	8.22284603947216e-226	0.326650617706023	0.31	0.029	1.08689578949743e-221	FAIM2
IFITM2	7.93636983122723e-225	0.497521058858256	0.994	0.859	1.04902936429162e-220	IFITM2
LRRN4CL	9.54463390057514e-225	0.297688422645532	0.304	0.027	1.26160970897802e-220	LRRN4CL
RPL8	3.07454284939588e-224	-0.437543297439588	0.995	0.999	4.06393073833147e-220	RPL8
RPS28	6.48385247413822e-224	-0.592835524088663	0.999	1	8.57035620031589e-220	RPS28
TINAGL1	3.05031329749266e-223	-0.869601742402863	0.027	0.398	4.03190411662579e-219	TINAGL1
BNIP3L	5.63467265049198e-223	0.492605300479892	0.713	0.325	7.4479103094203e-219	BNIP3L
SLIT3	1.41026563574088e-222	0.399379943060679	0.442	0.089	1.8640891173223e-218	SLIT3
NOVA1	2.44003591019078e-222	0.391819506755403	0.432	0.081	3.22523946609018e-218	NOVA1
