p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
PECAM1	1.63876070848952e-260	2.31221974754099	0.992	0.178	2.16611390448145e-256	PECAM1
ICAM2	7.6160687732989e-166	1.68466275098751	0.967	0.057	1.00669197045465e-161	ICAM2
MMRN2	3.95741873133982e-154	1.39902477036237	0.943	0.074	5.23091607908498e-150	MMRN2
EHD4	1.06971184443097e-150	1.35747673000099	0.943	0.343	1.41394511596886e-146	EHD4
PTPRB	1.48227304332548e-146	1.46359602595625	0.886	0.085	1.95926850866762e-142	PTPRB
VWF	5.09588417117703e-145	1.69857010161614	0.829	0.024	6.7357396974618e-141	VWF
EGFL7	3.74194474701643e-141	1.65642628762832	0.959	0.054	4.94610256660631e-137	EGFL7
ESAM	1.37915719608013e-138	1.52451298423352	0.967	0.093	1.82296998177872e-134	ESAM
BMX	6.19168174035151e-131	1.08092803143965	0.707	0.011	8.18416492439663e-127	BMX
ECE1	8.28778055501072e-131	1.35462598163622	0.878	0.197	1.09547883376132e-126	ECE1
RAMP2	9.67441768469359e-126	1.62328116302731	0.935	0.274	1.2787645295628e-121	RAMP2
STMN2	1.47654736114701e-125	1.47124888015543	0.74	0.018	1.95170030196411e-121	STMN2
SLC9A3R2	2.20533057475314e-123	1.38135553887761	0.902	0.161	2.9150059537087e-119	SLC9A3R2
GJA5	1.11280171109063e-119	0.694587241661813	0.537	0.002	1.4709013017196e-115	GJA5
HEG1	1.17311053369286e-118	1.35833688803238	0.911	0.2	1.55061750343523e-114	HEG1
SDPR	3.09057460249959e-108	1.3957056989203	0.959	0.288	4.08512150958396e-104	SDPR
ADAM15	1.24995720881348e-104	0.97816253216094	0.764	0.35	1.65219343860966e-100	ADAM15
LGALS1	2.31629235948243e-103	-1.62802962953397	0.789	0.981	3.06167524076387e-99	LGALS1
RAB11A	3.59383211382343e-103	0.942899390323061	0.902	0.469	4.75032728805181e-99	RAB11A
CDH5	2.32814564956512e-101	1.051129385607	0.78	0.042	3.07734291959518e-97	CDH5
CLEC14A	1.71425653931507e-98	1.0544840641786	0.74	0.072	2.26590429366666e-94	CLEC14A
CLDN5	4.25811600997741e-97	1.86619091824284	0.756	0.043	5.62837774198814e-93	CLDN5
RASIP1	4.69279122422005e-97	0.875831564915415	0.74	0.037	6.20293144017407e-93	RASIP1
TIE1	3.44289594782873e-96	0.913719743737704	0.699	0.03	4.55081986384002e-92	TIE1
CTSH	3.5156570778815e-96	1.2859605640367	0.886	0.559	4.64699552554377e-92	CTSH
CGNL1	2.83499965227122e-95	1.06145700108088	0.764	0.087	3.7473025403721e-91	CGNL1
GJA4	9.85632391373034e-94	1.31352777447937	0.707	0.082	1.30280889491688e-89	GJA4
LMO2	1.36646837940021e-93	1.23134329562344	0.707	0.117	1.8061979038912e-89	LMO2
EPAS1	2.27797113059417e-92	0.984506470878906	0.829	0.208	3.01102224041937e-88	EPAS1
CD93	3.00462054190785e-91	1.04685401044393	0.707	0.05	3.97150743229379e-87	CD93
PODXL	2.06767085684873e-90	0.962105795794544	0.642	0.027	2.73304733858265e-86	PODXL
IGFBP7	1.1624709582327e-89	-1.76674585594842	0.862	0.958	1.53655411259198e-85	IGFBP7
