p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
CD79A	1.61443646647076e-30	2.03825461107301	0.615	0.002	2.13396212138105e-26	CD79A
CD79B	7.27856513583159e-27	1.32062816642829	0.615	0.005	9.6208073965422e-23	CD79B
FCMR	2.27608201322074e-19	0.693147180559945	0.462	0	3.00852520507518e-15	FCMR
MS4A1	1.72650763992844e-17	0.961232260275178	0.462	0	2.28209779845742e-13	MS4A1
NUDT5	3.58022425334446e-16	0.365075689306909	0.154	0.11	4.73234041807071e-12	NUDT5
RPS19	7.53040891508682e-15	1.06486603528011	1	0.999	9.95369450396175e-11	RPS19
MZB1	5.31464160270736e-14	0.730440301344247	0.385	0	7.02489327045858e-10	MZB1
RPS18	8.87623374189232e-14	0.863622912905913	1	0.999	1.17326057600333e-09	RPS18
KHK	9.35838764985137e-14	0.38815798275401	0.154	0.086	1.23699167955735e-09	KHK
GPR171	1.40918885477685e-13	0.840986259094392	0.692	0.015	1.86266582824404e-09	GPR171
RPLP2	1.6020739450226e-13	0.843076591406769	1	0.999	2.11762134053087e-09	RPLP2
MRPL38	2.05030098359696e-13	0.740811553864758	0.692	0.212	2.71008784011846e-09	MRPL38
RPL19	4.91282886687868e-13	0.820323628233824	1	1	6.49377719624023e-09	RPL19
FCRLA	8.38010245226687e-13	0.378863587610317	0.385	0	1.10768194214063e-08	FCRLA
RPS27	9.9950872428981e-13	0.888726453533331	1	1	1.32115063176627e-08	RPS27
RPL13A	4.41761843885809e-12	0.796826942542853	1	1	5.83920805248263e-08	RPL13A
SELL	2.46263473644641e-11	0.376541743380954	0.385	0.001	3.25511059463487e-07	SELL
IGFBP7	2.65548454920401e-11	-1.70109605215998	0.923	0.957	3.51001947713786e-07	IGFBP7
RPS15A	1.10216126782761e-10	0.790642756569349	1	0.999	1.45683676381453e-06	RPS15A
RPS5	1.54753007372509e-10	0.74705665431057	1	1	2.04552525144983e-06	RPS5
NAPSA	1.58038948688492e-10	0.884635692892691	0.615	0.02	2.08895882376449e-06	NAPSA
TSR1	1.67737617683019e-10	0.266957709075823	0.154	0.056	2.21715583053415e-06	TSR1
WDR89	2.04747702130773e-10	0.888434883351167	0.923	0.851	2.70635512676455e-06	WDR89
CCR7	2.61365815179475e-10	1.33223544899641	0.462	0.005	3.4547333450423e-06	CCR7
BGN	5.65035931981967e-10	-1.54939909144873	0.923	0.947	7.46864494893764e-06	BGN
BLK	1.90484558992485e-09	0.371115407956031	0.385	0.004	2.51782490076267e-05	BLK
RPL17	2.21077331385226e-09	0.740335278077733	1	0.999	2.92220016624992e-05	RPL17
TNFRSF13C	2.39905772100995e-09	0.26754855104279	0.308	0.001	3.17107449563095e-05	TNFRSF13C
FAM107B	2.70398173347232e-09	0.923049727311483	0.692	0.09	3.57412305530371e-05	FAM107B
PLAC8	3.55448381031522e-09	1.41664068220195	0.692	0.058	4.69831670047465e-05	PLAC8
RPS16	3.82138614001007e-09	0.689433443289935	1	1	5.05110819986531e-05	RPS16
BTG1	4.34660883824719e-09	1.09441976502297	1	0.745	5.74534756239513e-05	BTG1
SFN	4.46193460678224e-09	0.516300442193773	0.154	0.009	5.89778516324476e-05	SFN
RPL12	5.2463841562055e-09	0.838497702953672	1	0.983	6.93467057767243e-05	RPL12
