p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
TM4SF1	4.27489875415227e-201	0.794763546850974	0.995	0.891	5.65056117323846e-197	TM4SF1
SOD3	3.49900287574788e-195	0.743091131567572	0.984	0.813	4.62498200116355e-191	SOD3
CD200	1.06404513741213e-189	0.729701511413854	0.958	0.739	1.40645486263135e-185	CD200
CYB5R3	1.58924924786617e-165	0.631934942904782	0.952	0.792	2.1006696558295e-161	CYB5R3
TAGLN	8.32984212636962e-159	0.597414380338611	0.988	0.714	1.10103853226354e-154	TAGLN
NUPR1	1.04077864406875e-155	0.705605103921557	0.994	0.874	1.37570121173008e-151	NUPR1
ITGA8	1.00146237075023e-152	0.599039700040985	0.88	0.426	1.32373296165765e-148	ITGA8
MYH11	1.29686830356075e-151	0.262541307579337	0.94	0.507	1.7142005236466e-147	MYH11
ELN	3.24874752744123e-151	0.999402756671865	0.902	0.641	4.29419448177182e-147	ELN
MGP	4.14600427948016e-151	0.741283442923351	0.999	0.973	5.48018845661688e-147	MGP
COL18A1	5.12245390199437e-149	0.706420965160281	0.825	0.414	6.77085956765616e-145	COL18A1
FBLIM1	7.24196688936272e-149	0.596117791229068	0.944	0.578	9.57243183435965e-145	FBLIM1
ACTA2	1.10652621566241e-146	0.454217637014273	0.998	0.794	1.46260635186258e-142	ACTA2
MYL9	2.06460180926642e-142	0.449571765836501	0.99	0.696	2.72899067148835e-138	MYL9
CNN1	1.03953281516048e-137	0.40544374071244	0.934	0.52	1.37405447507912e-133	CNN1
TPM2	3.34006262261818e-137	0.422875533622479	0.99	0.706	4.41489477457672e-133	TPM2
ITIH4	1.10356605896444e-132	0.96287840651939	0.735	0.338	1.4586936167392e-128	ITIH4
LMOD1	2.12993694329464e-132	0.438132597020796	0.925	0.517	2.81535065164685e-128	LMOD1
PLS3	4.23195051505888e-129	0.519695869893174	0.962	0.718	5.59379219080483e-125	PLS3
CSRP2	8.63291530580133e-127	0.60129960992763	0.989	0.824	1.14109874512082e-122	CSRP2
FBLN5	3.93125792296097e-126	0.638382375901856	0.982	0.822	5.19633672256981e-122	FBLN5
CDO1	5.83636966098505e-125	0.588348723479692	0.665	0.284	7.71451341789004e-121	CDO1
RAMP1	2.74210994386339e-121	0.53898150913161	0.801	0.387	3.62452092379862e-117	RAMP1
MYLK	1.50585862883242e-117	0.27600630301843	0.898	0.507	1.99044393559069e-113	MYLK
HSPB7	3.58679850008388e-117	0.582587959337141	0.76	0.372	4.74103025741087e-113	HSPB7
SNCG	1.51563865183188e-116	0.818499047077043	0.631	0.246	2.00337116999138e-112	SNCG
BGN	4.86775914408542e-116	0.55863877905765	0.999	0.943	6.4342040366521e-112	BGN
HTRA1	1.48534464491287e-115	0.553314958706156	0.92	0.694	1.96332855164584e-111	HTRA1
NPNT	3.50422639930149e-115	0.506779283759746	0.752	0.341	4.6318864545967e-111	NPNT
FHL1	2.31449353033804e-113	0.516758645339396	0.982	0.807	3.05929754840082e-109	FHL1
AEBP1	7.68688034018461e-113	0.550357476425762	0.978	0.82	1.0160518433656e-108	AEBP1
CALD1	6.20532935141074e-112	0.438184881361586	0.994	0.792	8.20220433669472e-108	CALD1
IGFBP7	8.729186296044e-112	0.600242546755535	1	0.953	1.1538238446111e-107	IGFBP7
CYGB	2.74540453307174e-110	-1.0805081757281	0.019	0.33	3.62887571181423e-106	CYGB
LY6E	4.30754221490706e-108	-1.1804412905142	0.164	0.504	5.69370929966415e-104	LY6E
SH3BGR	7.13234439823022e-108	0.292181554579978	0.709	0.335	9.4275328255807e-104	SH3BGR
LTBP1	2.0140786065424e-104	0.505489439895015	0.741	0.404	2.66220910212774e-100	LTBP1
DPT	7.03051045274628e-103	-1.14025661046882	0.056	0.374	9.29292871644003e-99	DPT
MYL6	9.06100064834636e-103	0.41837544408279	1	0.993	1.19768306569842e-98	MYL6
SERPINE2	2.06960828371583e-97	0.507645125405723	0.948	0.747	2.73560822941559e-93	SERPINE2
NOV	3.81262927928549e-97	0.549439846505717	0.716	0.342	5.03953338135955e-93	NOV
JUNB	4.91475341626236e-95	-0.934797097958028	0.809	0.921	6.49632106561559e-91	JUNB
KCNMB1	3.76082388981984e-94	0.362956182976082	0.618	0.254	4.97105701756386e-90	KCNMB1
RAMP2	6.37650030818928e-93	-0.637415850737907	0.022	0.301	8.42845810736459e-89	RAMP2
TGFBI	1.23437040538819e-91	-0.637373098059608	0.019	0.291	1.63159080184211e-87	TGFBI
MTUS2	2.91394033093908e-91	0.444562222943921	0.648	0.293	3.85164632943528e-87	MTUS2
TPM1	2.96756643090623e-91	0.411424277150851	0.98	0.751	3.92252930837186e-87	TPM1
SMTN	3.4536504474814e-90	0.387049730493568	0.819	0.46	4.56503516148092e-86	SMTN
ACTN1	4.2449777652064e-89	0.330441076131854	0.961	0.692	5.61101161004982e-85	ACTN1
DSTN	5.58231665619098e-88	0.314119422566677	0.999	0.942	7.37870615615323e-84	DSTN
SH3BGRL	6.79166984696327e-88	0.396512672318089	0.966	0.814	8.97722920371605e-84	SH3BGRL
CPE	1.34196881488704e-86	0.384103586059709	0.988	0.833	1.7738143795177e-82	CPE
HSPB6	6.45987284013017e-86	0.271145568525164	0.724	0.379	8.53865992008406e-82	HSPB6
CRYAB	7.46584307413213e-86	0.438129775474068	0.928	0.695	9.86835137538784e-82	CRYAB
NFKBIA	6.18491958847734e-85	-0.766560118790849	0.765	0.903	8.17522671204935e-81	NFKBIA
PI16	6.90491893797002e-85	-1.38849763071542	0.014	0.264	9.12692185220877e-81	PI16
