p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
PI16	0	2.80603484161684	0.993	0.217	0	PI16
CLEC3B	0	1.90554534992556	0.924	0.142	0	CLEC3B
UGDH	0	1.8673345753814	0.895	0.329	0	UGDH
MFAP5	0	1.80191725301422	1	0.518	0	MFAP5
GFPT2	0	1.41556963462555	0.89	0.132	0	GFPT2
CD34	0	1.41521725719548	0.99	0.348	0	CD34
AXL	1.38873197015859e-316	0.98144078352795	0.921	0.502	1.83562591815563e-312	AXL
CD248	2.57170588485172e-308	1.09267846614252	0.714	0.095	3.399280838597e-304	CD248
UAP1	3.14698690345247e-298	1.26848397486273	0.926	0.396	4.15968728898348e-294	UAP1
FBN1	2.17126454192357e-280	1.096025019903	0.836	0.352	2.86997747151458e-276	FBN1
SCARA5	8.98083963893721e-274	1.12578713271379	0.695	0.049	1.18708738347472e-269	SCARA5
TMEM100	6.08580933274154e-262	1.2747403278505	0.779	0.098	8.04422277601777e-258	TMEM100
ACKR3	5.79347678473203e-259	1.24958605853194	0.833	0.173	7.6578176140588e-255	ACKR3
NBL1	1.02310848277599e-242	1.26758988673871	0.948	0.458	1.35234479253331e-238	NBL1
PCOLCE2	5.54690288430679e-241	1.23540245545609	0.912	0.301	7.33189623247672e-237	PCOLCE2
FBLN2	3.90462597216223e-240	1.16917452865055	0.874	0.201	5.16113461000404e-236	FBLN2
ADGRD1	5.53829054590701e-234	0.806060449142986	0.567	0.026	7.32051244357989e-230	ADGRD1
CD55	8.24484058869232e-225	1.01297562921706	0.724	0.115	1.08980302901335e-220	CD55
SERPING1	1.39138186170673e-213	1.17414821775394	1	0.694	1.83912854480396e-209	SERPING1
ENTPD2	1.57318486177164e-212	1.03379698066266	0.898	0.216	2.07943575028976e-208	ENTPD2
LAMC1	1.29949262227652e-208	0.805594608894627	0.774	0.251	1.7176693481251e-204	LAMC1
GSN	3.20123657632623e-206	1.31151847910161	1	0.942	4.23139450658801e-202	GSN
FSTL1	4.66475693017569e-204	0.88411877037493	0.988	0.85	6.16587571030623e-200	FSTL1
DPT	1.8157191754704e-200	1.12673082645867	0.981	0.327	2.40001760613678e-196	DPT
HTRA3	1.33233060841939e-199	1.11596040848478	0.971	0.539	1.76107459820875e-195	HTRA3
NID1	6.5304287713913e-198	0.933327746283515	0.743	0.166	8.63192075002502e-194	NID1
TNXB	8.55160551502157e-198	0.938362692095165	0.819	0.221	1.13035121697555e-193	TNXB
LRRN4CL	1.28030778106175e-197	0.754089312143971	0.51	0.029	1.69231082500743e-193	LRRN4CL
HAS1	2.12274786635713e-197	1.46794095769656	0.612	0.058	2.80584812975086e-193	HAS1
