p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
FABP4	0	3.42826630488227	0.723	0.251	0	FABP4
CD36	0	1.83870976429596	0.638	0.037	0	CD36
GPIHBP1	0	1.78291339417739	0.563	0.011	0	GPIHBP1
EGFL7	0	1.54296552343811	0.87	0.032	0	EGFL7
ENG	0	1.43000452210957	0.835	0.295	0	ENG
EMCN	0	1.38371360896423	0.762	0.023	0	EMCN
ESAM	0	1.31895662659598	0.822	0.073	0	ESAM
TSPAN13	0	1.2969223331053	0.773	0.047	0	TSPAN13
CDH5	0	1.20824445017344	0.755	0.022	0	CDH5
FLT1	0	1.18436297122105	0.716	0.072	0	FLT1
LGALS1	0	-1.47749572814974	0.913	0.982	0	LGALS1
GIMAP6	6.93469800372698e-310	1.03556939144503	0.709	0.037	9.16628382132633e-306	GIMAP6
SDPR	2.65493858652295e-308	1.34250561051351	0.895	0.271	3.50929782366603e-304	SDPR
ICAM2	3.42879523595602e-303	1.09532973640347	0.73	0.04	4.53218154288666e-299	ICAM2
RASIP1	2.89337878346249e-302	0.880730032511668	0.643	0.02	3.82446807598071e-298	RASIP1
PECAM1	1.17574267055304e-288	1.30394290786679	0.883	0.159	1.55409666193701e-284	PECAM1
CD300LG	2.53961590998501e-285	1.05521505065996	0.529	0.012	3.35686430981819e-281	CD300LG
ADGRF5	4.60018139506549e-284	0.828013846320874	0.606	0.02	6.08051976799756e-280	ADGRF5
AQP1	7.57788161288117e-277	1.64941618673022	0.698	0.391	1.00164439159063e-272	AQP1
MGLL	1.81656424013764e-271	0.976194725513592	0.68	0.34	2.40113461261394e-267	MGLL
GNG11	2.92101341691956e-262	1.26296834840828	0.851	0.389	3.86099553448427e-258	GNG11
SLC9A3R2	4.45324618803339e-261	1.11963661315893	0.716	0.147	5.88630081134253e-257	SLC9A3R2
FTH1	2.24434370367767e-255	-1.03785454892288	1	1	2.96657350752115e-251	FTH1
BGN	3.35118073353206e-254	-1.61172374244476	0.931	0.947	4.42959069358268e-250	BGN
ADGRL4	5.44864465653911e-253	0.699385042366122	0.492	0.009	7.20201850701339e-249	ADGRL4
RGCC	6.91144748294955e-244	1.48724669302326	0.524	0.119	9.13555128296271e-240	RGCC
C1QTNF9	9.15163084085328e-237	0.881527153050094	0.403	0.003	1.20966256454399e-232	C1QTNF9
S1PR1	6.01020303617313e-236	0.840761987100294	0.606	0.042	7.94428637321364e-232	S1PR1
TIE1	6.98314525044479e-222	0.693213485927389	0.513	0.018	9.23032139203793e-218	TIE1
FABP5	8.45390081404745e-218	1.32345666576487	0.686	0.146	1.11743660960079e-213	FABP5
KDR	1.17786111776217e-213	0.704324873287279	0.485	0.016	1.55689682545804e-209	KDR
PIM3	8.34534756948438e-213	0.930232830777957	0.707	0.358	1.10308804173445e-208	PIM3
CYYR1	6.67710888335758e-208	0.618689228940919	0.426	0.009	8.82580252202205e-204	CYYR1
PTPRB	1.08680266040146e-206	0.938663891843152	0.627	0.072	1.43653575651865e-202	PTPRB
CAV2	1.64287129197514e-206	0.870385685404506	0.792	0.393	2.17154727373274e-202	CAV2
APOLD1	1.68267755904858e-205	1.12065762899509	0.597	0.049	2.22416319755041e-201	APOLD1
CLDN5	5.92229342189251e-205	1.66546515051858	0.542	0.031	7.82808744505752e-201	CLDN5
TCF15	1.00081935228143e-194	0.767284469099665	0.394	0.009	1.3228830198456e-190	TCF15
CD93	1.55340743190818e-191	0.743913107833589	0.531	0.038	2.05329394349624e-187	CD93
