p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
CMA1	2.00111136598896e-27	4.2309821994448	0.333	0.003	2.64506900356421e-23	CMA1
GADD45A	1.30232778622253e-17	1.53353217855314	0.5	0.159	1.72141686782894e-13	GADD45A
TPSB2	1.31528242683138e-15	4.13445156877732	0.333	0.001	1.73854031178572e-11	TPSB2
NUDT17	3.52830857484921e-13	0.388532829989372	0.167	0.017	4.66371827423569e-09	NUDT17
CPA3	5.39919746602319e-13	3.43354027710341	0.333	0	7.13665921058945e-09	CPA3
HDC	6.82274491182302e-13	1.75256331831426	0.333	0.007	9.01830422444767e-09	HDC
PGAP3	1.36938900279837e-12	0.273478549162069	0.167	0.014	1.81005838389889e-08	PGAP3
GSTCD	1.95809610421435e-12	0.268817765981066	0.167	0.019	2.58821143055053e-08	GSTCD
IPMK	5.91044464231558e-11	0.552355662065477	0.167	0.049	7.81242572821273e-07	IPMK
ADRB2	1.24573130037537e-10	0.992992530800624	0.167	0.079	1.64660763283617e-06	ADRB2
METTL25	1.15558882722419e-09	0.262346383536609	0.167	0.025	1.52745731182493e-05	METTL25
TPSAB1	6.50077569301763e-09	1.20370462392832	0.333	0	8.5927253110307e-05	TPSAB1
ITGA2B	2.25055002255005e-08	0.478800365575133	0.333	0.031	0.000297477701980665	ITGA2B
MTRR	2.84552244157279e-08	0.263305699879312	0.167	0.024	0.000376121156327091	MTRR
KLHL21	2.92685296924401e-08	0.41133837926751	0.167	0.093	0.000386871425474673	KLHL21
SRFBP1	3.27384265277863e-08	0.250905801134716	0.167	0.036	0.000432736521844279	SRFBP1
FSCN1	3.53764887329511e-08	1.13626223280445	0.167	0.079	0.000467606428072148	FSCN1
NAP1L5	3.68906788097859e-08	0.565832495176104	0.167	0.035	0.00048762099250775	NAP1L5
STK4	5.18055776788324e-08	0.436583552423368	0.167	0.068	0.000684766125758807	STK4
EPSTI1	5.30556850070257e-08	1.32835782661053	0.167	0.056	0.000701290044422866	EPSTI1
AGPS	6.1239922451005e-08	0.345603353129552	0.167	0.057	0.000809469294957384	AGPS
RAP2B	1.15127922362271e-07	0.551967418088087	0.167	0.122	0.0015217608777845	RAP2B
GLIPR2	1.37858521564131e-07	1.03711818248941	0.5	0.144	0.00182221393803468	GLIPR2
COQ3	1.42237378847715e-07	0.473532422998283	0.333	0.036	0.00188009367360909	COQ3
PCED1A	1.82440954851759e-07	0.263218451264328	0.167	0.024	0.00241150454123056	PCED1A
TMEM123	2.45042907311176e-07	1.30014420166902	0.5	0.401	0.00323897714883913	TMEM123
TTL	4.42854775001728e-07	0.307841193026353	0.167	0.094	0.00585365441597284	TTL
TAF7	4.55818257336999e-07	0.874372281172991	0.667	0.15	0.00602500572548045	TAF7
GCLM	4.55943145391461e-07	0.739067082538288	0.333	0.225	0.00602665649578434	GCLM
CCDC66	4.96995430739105e-07	0.334465608719096	0.167	0.068	0.00656928560350949	CCDC66
VWA5A	5.6601340365264e-07	0.751073724409462	0.667	0.215	0.00748156516948059	VWA5A
DECR2	5.84707964090579e-07	0.428152356835478	0.333	0.081	0.00772866986934928	DECR2
ROGDI	9.01088854080099e-07	0.394245317754763	0.167	0.108	0.0119105924732307	ROGDI
COMMD7	9.21863353842611e-07	0.270468539936535	0.167	0.233	0.0121851898110916	COMMD7
WHSC1L1	9.58778183774404e-07	0.390314479475803	0.167	0.272	0.0126731300331301	WHSC1L1
EML6	9.77536166159201e-07	0.278604046420385	0.167	0.009	0.0129210730442923	EML6
TBC1D4	1.4848006843196e-06	0.985388791779959	0.167	0.04	0.0196260954453364	TBC1D4
MT-ND1	1.57831366244056e-06	-0.983049966364425	0.667	1	0.0208621499901393	MT-ND1
SNRPF	1.58707025975278e-06	0.717262177257753	0.667	0.571	0.0209778946934122	SNRPF
SNHG9	1.96178924740618e-06	0.607186869828339	0.333	0.08	0.0259309302722148	SNHG9
LONRF1	2.46348435838511e-06	0.250819627667474	0.167	0.036	0.0325623362491344	LONRF1
PPAN	2.52588129675663e-06	0.299523625794889	0.167	0.101	0.0333870989805292	PPAN
ITGA4	2.59623138108361e-06	0.640129847923726	0.167	0.042	0.0343169863951632	ITGA4
BRD3	2.73712750002948e-06	0.298197605469194	0.167	0.201	0.0361793512953897	BRD3
PSMC5	3.42940245184815e-06	0.401271855766802	0.333	0.469	0.0453298416085288	PSMC5
FAM65A	3.87438311853239e-06	0.290796239442205	0.167	0.11	0.0512115960607612	FAM65A
LRRK1	3.89996312509872e-06	0.428070048921526	0.167	0.156	0.0515497125875549	LRRK1
CMTM7	8.72651262374703e-06	0.723479797067657	0.333	0.269	0.115347043860688	CMTM7
MRPL42	1.09989288720655e-05	0.659529978650697	0.5	0.483	0.145383841830962	MRPL42
UVRAG	1.24001360635183e-05	0.356611084939381	0.167	0.141	0.163904998487585	UVRAG
GPD2	1.32913462616851e-05	0.57227945233999	0.333	0.112	0.175685014886953	GPD2
DHCR7	1.48827186359642e-05	0.258257821449504	0.167	0.029	0.196719774930175	DHCR7
INPP5K	1.50618540391507e-05	0.292950982704371	0.167	0.106	0.199087586689493	INPP5K
IL1RL1	1.60813607914225e-05	0.686997154490951	0.333	0.005	0.212563426941023	IL1RL1
OPTN	1.68746998158898e-05	0.406091142202751	0.333	0.102	0.223049782166432	OPTN
